date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-048.html
20120203,6413,4750
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-014.html
20130115,5164,3825
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-279.html
20130618,4208,3825
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-085.html
20140228,3960,3600
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-143.html
20140409,3520,3200
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-186.html
20140509,3190,2900
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-367.html
20140919,2970,2700
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-007.html
20150109,3190,2900
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-038.html
20150206,3960,3600
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-048.html
20150213,4180,3800
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-182.html
20150701,4510,4100
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv16-051.html
20160127,5280,4800
# https://www.cmegroup.com/notices/clearing/2016/04/Chadv16-153.html
20160408,4840,4400
# https://www.cmegroup.com/notices/clearing/2016/06/Chadv16-247.html
20160627,5060,4600
# https://www.cmegroup.com/notices/clearing/2016/11/Chadv16-462.html
20161103,5500,5000
# https://www.cmegroup.com/notices/clearing/2016/11/Chadv16-480.html
20161111,6160,5600
# https://www.cmegroup.com/notices/clearing/2017/03/Chadv17-116.html
20170323,5610,5100
# https://www.cmegroup.com/notices/clearing/2017/05/Chadv17-167.html
20170512,4840,4400
# https://www.cmegroup.com/notices/clearing/2017/06/Chadv17-251.html
20170630,4290,3900
# https://www.cmegroup.com/notices/clearing/2017/07/Chadv17-281.html
20170714,4070,3700
# https://www.cmegroup.com/notices/clearing/2018/01/Chadv18-006.html
20180105,3630,3300
# https://www.cmegroup.com/notices/clearing/2018/03/Chadv18-134.html
20180402,3410,3100
# https://www.cmegroup.com/notices/clearing/2018/12/Chadv18-478.html
20181207,4015,3650
# https://www.cmegroup.com/notices/clearing/2019/05/Chadv19-145.html
20190503,3795,3450
# https://www.cmegroup.com/notices/clearing/2019/08/Chadv19-261.html
20190808,4180,3800
# https://www.cmegroup.com/notices/clearing/2019/08/Chadv19-269.html
20190815,4620,4200
# https://www.cmegroup.com/notices/clearing/2019/08/Chadv19-286.html
20190903,5280,4800
# https://www.cmegroup.com/notices/clearing/2019/11/Chadv19-382.html
20191115,4730,4300
# https://www.cmegroup.com/notices/clearing/2020/01/Chadv20-012.html
20200109,4950,4500
