date,initial,maintenance
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv12-172.html
20120425,1980,1800
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-014.html
20130115,1485,1350
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv13-378.html
20130820,1100,1000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv14-232.html
20140613,880,800
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-117.html
20150501,770,700
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-388.html
20151113,886,805
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv15-423.html
20151211,1100,1000
# https://www.cmegroup.com/tools-information/lookups/advisories/clearing/Chadv16-092.html
20160226,1320,1200
# https://www.cmegroup.com/notices/clearing/2016/06/Chadv16-242.html
20160622,1540,1400
# https://www.cmegroup.com/notices/clearing/2016/07/Chadv16-272.html
20160715,1815,1650
# https://www.cmegroup.com/notices/clearing/2017/06/Chadv17-210.html
20170608,1210,1100
# https://www.cmegroup.com/notices/clearing/2019/01/Chadv19-027.html
20190118,990,900
