date,initial,maintenance
20031124,945,700
20040115,1215,900
20040226,1350,1000
20040407,1485,1100
20040420,1755,1300
20040518,2160,1600
20040604,2430,1800
20040624,1890,1400
20040730,1688,1250
20040901,1688,1250
20040928,1215,900
20041026,1080,800
20041109,945,700
20041124,743,550
20050224,1013,750
20050304,1114,825
20050706,1485,1100
20050929,709,525
20051205,810,600
20060111,1013,750
20060516,810,600
20060821,675,500
20061113,844,625
20070117,1080,800
20070611,945,700
20070702,1283,950
20070719,1823,1350
20091027,1650,1500
20100330,1320,1200
20100521,1100,1000
20100723,1210,1100
20100930,1375,1250
20101011,1925,1750
20101110,2200,2000
20110613,1925,1750
20110725,1650,1500
20110906,1375,1250
20120425,1595,1450
20120611,1760,1600
20120710,2200,2000
20130820,1925,1750
20130828,2475,2250
20140214,2200,2000
20140509,1980,1800
20140703,2200,2000
20140828,1100,1000
20140918,1650,1500
20141030,2200,2000
20141111,2750,2500
20150220,2310,2100
20150508,2090,1900
20150701,2420,2200
20160108,1980,1800
20160219,1650,1500
20160310,1320,1200
20160422,1595,1450
20160429,1760,1600
20160511,1980,1800
20160519,1980,1800
20160520,2200,2000
20160603,2475,2250
20160715,2200,2000
20160719,2475,2250
