#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC V5E8P9SH0U0X,DC01H12,17.5,17.7,17.45,17.56,450,
DC V5E8P9UYKFES|DC V5E8P9SH0U0X,DC01H12  120401C00015000,2.595,2.725,2.565,2.625,0,
DC V5E8PGSOLJNO|DC V5E8P9SH0U0X,DC01H12  120401C00015250,2.365,2.495,2.335,2.395,0,
DC V5E8PAI4155W|DC V5E8P9SH0U0X,DC01H12  120401C00015500,2.145,2.265,2.115,2.17,0,
DC V5E8PH0YAA4K|DC V5E8P9SH0U0X,DC01H12  120401C00015750,1.925,2.05,1.905,1.955,0,
DC V5E8P9V4IRGK|DC V5E8P9SH0U0X,DC01H12  120401C00016000,1.725,1.885,1.71,1.745,0,
DC V5E8PH97Z0LG|DC V5E8P9SH0U0X,DC01H12  120401C00016250,1.525,1.695,1.515,1.555,0,
DC V5E8PAJRKHNO|DC V5E8P9SH0U0X,DC01H12  120401C00016500,1.345,1.515,1.335,1.365,0,
DC V5E8PHHHNR2C|DC V5E8P9SH0U0X,DC01H12  120401C00016750,1.175,1.34,1.165,1.195,0,
DC V5E8P9VAH3IC|DC V5E8P9SH0U0X,DC01H12  120401C00017000,1.015,1.21,1.005,1.035,0,
DC V5E8PHPRCHJ8|DC V5E8P9SH0U0X,DC01H12  120401C00017250,0.87,1.075,0.865,0.885,0,
DC V5E8PALF3U5G|DC V5E8P9SH0U0X,DC01H12  120401C00017500,0.74,0.94,0.735,0.755,0,
DC V5E8PHY11804|DC V5E8P9SH0U0X,DC01H12  120401C00017750,0.62,0.815,0.615,0.635,0,
DC V5E8P9VGFFK4|DC V5E8P9SH0U0X,DC01H12  120401C00018000,0.41,0.71,0.38,0.415,0,
DC V5E8PI6APYH0|DC V5E8P9SH0U0X,DC01H12  120401C00018250,0.285,0.605,0.205,0.29,2,
DC V5E8PAN2N6N8|DC V5E8P9SH0U0X,DC01H12  120401C00018500,0.29,0.415,0.23,0.23,2,
DC V5E8PIEKEOXW|DC V5E8P9SH0U0X,DC01H12  120401C00018750,0.28,0.44,0.28,0.29,0,
DC V5E8P9VMDRLW|DC V5E8P9SH0U0X,DC01H12  120401C00019000,0.24,0.295,0.175,0.19,4,
DC V5E8PIMU3FES|DC V5E8P9SH0U0X,DC01H12  120401C00019250,0.18,0.32,0.175,0.185,6,
DC V5E8PAOQ6J50|DC V5E8P9SH0U0X,DC01H12  120401C00019500,0.14,0.265,0.14,0.15,0,
DC V5E8PIV3S5VO|DC V5E8P9SH0U0X,DC01H12  120401C00019750,0.11,0.225,0.11,0.11,0,
DC V5E8P9ST87XG|DC V5E8P9SH0U0X,DC01H12  120401C00020000,0.08,0.185,0.07,0.075,0,
DC V5E8PJ3DGWCK|DC V5E8P9SH0U0X,DC01H12  120401C00020250,0.065,0.08,0.065,0.07,0,
DC V5E8PAQDPVMS|DC V5E8P9SH0U0X,DC01H12  120401C00020500,0.11,0.12,0.11,0.11,0,
DC V5E8PJBN5MTG|DC V5E8P9SH0U0X,DC01H12  120401C00020750,0.1,0.1,0.09,0.1,0,
DC V5E8P9VYAFPG|DC V5E8P9SH0U0X,DC01H12  120401C00021000,0.09,0.09,0.09,0.09,0,
DC V5E8PJJWUDAC|DC V5E8P9SH0U0X,DC01H12  120401C00021250,0.08,0.08,0.08,0.08,0,
DC V5E8PAS1984K|DC V5E8P9SH0U0X,DC01H12  120401C00021500,0.07,0.08,0.07,0.07,0,
DC V5E8PJS6J3R8|DC V5E8P9SH0U0X,DC01H12  120401C00021750,0.07,0.07,0.07,0.07,0,
DC V5E8P9W48RR8|DC V5E8P9SH0U0X,DC01H12  120401C00022000,0.07,0.07,0.07,0.07,0,
DC V5E8PK0G7U84|DC V5E8P9SH0U0X,DC01H12  120401C00022250,0.07,0.07,0.06,0.07,0,
DC V5E8PATOSKMC|DC V5E8P9SH0U0X,DC01H12  120401C00022500,0.06,0.06,0.06,0.06,0,
DC 2Z4I8UPT648HW|DC V5E8P9SH0U0X,DC01H12  120401P00009000,0.06,0.06,0.06,0.06,0,
DC 2Z4I8UU0NMJES|DC V5E8P9SH0U0X,DC01H12  120401P00009250,0.06,0.06,0.06,0.06,0,
DC 2Z4I8UQ7E2VL0|DC V5E8P9SH0U0X,DC01H12  120401P00009500,0.06,0.06,0.06,0.06,0,
DC 2Z4I8UU8XB9VO|DC V5E8P9SH0U0X,DC01H12  120401P00009750,0.06,0.06,0.06,0.06,0,
DC 2Z4I8UPRUJP9G|DC V5E8P9SH0U0X,DC01H12  120401P00010000,0.06,0.06,0.06,0.06,0,
DC 2Z4I8UUH700CK|DC V5E8P9SH0U0X,DC01H12  120401P00010250,0.06,0.06,0.06,0.06,0,
DC 2Z4I8UQ91M82S|DC V5E8P9SH0U0X,DC01H12  120401P00010500,0.06,0.06,0.06,0.06,0,
