#expiry,strike,right,open,high,low,close,volume,open_interest
,,,17.5,17.7,17.45,17.56,0,
20120401,15,C,2.595,2.725,2.565,2.625,0,
20120401,15.25,C,2.365,2.495,2.335,2.395,0,
20120401,15.5,C,2.145,2.265,2.115,2.17,0,
20120401,15.75,C,1.925,2.05,1.905,1.955,0,
20120401,16,C,1.725,1.885,1.71,1.745,0,
20120401,16.25,C,1.525,1.695,1.515,1.555,0,
20120401,16.5,C,1.345,1.515,1.335,1.365,0,
20120401,16.75,C,1.175,1.34,1.165,1.195,0,
20120401,17,C,1.015,1.21,1.005,1.035,0,
20120401,17.25,C,0.88,1.075,0.875,0.895,0,
20120401,17.5,C,0.75,0.95,0.745,0.765,0,
20120401,17.75,C,0.63,0.825,0.625,0.645,0,
20120401,18,C,0.42,0.72,0.39,0.425,0,
20120401,18.25,C,0.285,0.605,0.205,0.29,0,
20120401,18.5,C,0.29,0.415,0.23,0.23,0,
20120401,18.75,C,0.28,0.44,0.28,0.29,0,
20120401,19,C,0.24,0.295,0.175,0.19,0,
20120401,19.25,C,0.18,0.32,0.175,0.185,0,
20120401,19.5,C,0.14,0.265,0.14,0.15,0,
20120401,19.75,C,0.11,0.225,0.11,0.11,0,
20120401,20,C,0.08,0.185,0.07,0.075,0,
20120401,20.25,C,0.065,0.08,0.065,0.07,0,
20120401,20.5,C,0.11,0.12,0.11,0.11,0,
20120401,20.75,C,0.1,0.1,0.09,0.1,0,
20120401,21,C,0.09,0.09,0.09,0.09,0,
20120401,21.25,C,0.08,0.08,0.08,0.08,0,
20120401,21.5,C,0.07,0.08,0.07,0.07,0,
20120401,21.75,C,0.07,0.07,0.07,0.07,0,
20120401,22,C,0.07,0.07,0.07,0.07,0,
20120401,22.25,C,0.07,0.07,0.06,0.07,0,
20120401,22.5,C,0.06,0.06,0.06,0.06,0,
20120401,9,P,0.06,0.06,0.06,0.06,0,
20120401,9.25,P,0.06,0.06,0.06,0.06,0,
20120401,9.5,P,0.06,0.06,0.06,0.06,0,
20120401,9.75,P,0.06,0.06,0.06,0.06,0,
20120401,10,P,0.06,0.06,0.06,0.06,0,
20120401,10.25,P,0.06,0.06,0.06,0.06,0,
20120401,10.5,P,0.06,0.06,0.06,0.06,0,
20120401,10.75,P,0.06,0.06,0.06,0.06,0,
20120401,11,P,0.06,0.06,0.06,0.06,0,
20120401,11.25,P,0.06,0.06,0.06,0.06,0,
20120401,11.5,P,0.06,0.06,0.06,0.06,0,
20120401,11.75,P,0.06,0.06,0.06,0.06,0,
20120401,12,P,0.06,0.06,0.06,0.06,0,
20120401,12.25,P,0.06,0.06,0.06,0.06,0,
20120401,12.5,P,0.06,0.06,0.06,0.06,0,
20120401,12.75,P,0.06,0.06,0.06,0.06,0,
20120401,13,P,0.1,0.1,0.06,0.1,0,
20120401,13.25,P,0.06,0.06,0.06,0.06,0,
20120401,13.5,P,0.07,0.07,0.06,0.07,0,
20120401,13.75,P,0.07,0.07,0.07,0.07,0,
20120401,14,P,0.035,0.035,0.035,0.035,0,
20120401,14.25,P,0.055,0.055,0.055,0.055,0,
20120401,14.5,P,0.065,0.075,0.06,0.065,0,
20120401,14.75,P,0.06,0.08,0.055,0.06,0,
20120401,15,P,0.07,0.11,0.065,0.07,0,
20120401,15.25,P,0.08,0.145,0.07,0.07,0,
20120401,15.5,P,0.275,0.275,0.125,0.275,0,
20120401,15.75,P,0.14,0.23,0.125,0.135,0,
20120401,16,P,0.36,0.4,0.17,0.36,0,
20120401,16.25,P,0.24,0.35,0.22,0.23,0,
20120401,16.5,P,0.30,0.425,0.265,0.295,0,
20120401,16.75,P,0.38,0.505,0.355,0.37,0,
20120401,17,P,0.53,0.64,0.44,0.49,0,
20120401,17.25,P,0.585,0.73,0.55,0.575,0,
20120401,17.5,P,0.705,0.85,0.66,0.69,0,
20120401,17.75,P,0.835,0.99,0.79,0.82,0,
20120401,18,P,0.98,1.125,0.92,0.965,0,
20120401,18.25,P,1.13,1.15,0.995,1.11,0,
20120401,18.5,P,1.305,1.325,1.21,1.28,0,
20120401,18.75,P,1.485,1.505,1.385,1.465,0,
20120401,19,P,1.675,1.7,1.575,1.655,0,
20120401,19.25,P,1.88,1.905,1.765,1.855,0,
20120401,19.5,P,2.09,2.115,1.975,2.065,0,
20120401,19.75,P,2.305,2.335,2.185,2.285,0,
20120401,20,P,2.535,2.56,2.405,2.505,0,
20120401,20.25,P,2.765,2.79,2.635,2.735,0,
20120401,20.5,P,2.995,3.025,2.865,2.965,0,
20120401,20.75,P,3.235,3.265,3.105,3.205,0,
20120401,21,P,3.475,3.505,3.34,3.445,0,
20120401,21.25,P,3.715,3.745,3.585,3.685,0,
20120401,21.5,P,3.965,3.995,3.825,3.935,0,
20120401,21.75,P,4.205,4.235,4.075,4.175,0,
20120401,22,P,4.455,4.485,4.315,4.425,0,
