#expiry,strike,right,open,high,low,close,volume,open_interest
,,,3220.25,3224,3216.25,3223.75,0,
20200320,3000,C,249.50,256.125,243.125,251.875,0,
20200320,3010,C,240.875,247.625,234.5,243.25,0,
20200320,3020,C,232.25,239.125,225.875,234.75,0,
20200320,3025,C,228,234.875,221.75,230.5,0,
20200320,3030,C,223.875,230.75,217.5,226.625,0,
20200320,3040,C,215.375,222,209.0,217.625,0,
20200320,3050,C,207.125,214.00,200.875,209.625,0,
20200320,3060,C,198.875,205.75,192.625,201.375,0,
20200320,3070,C,190.75,197.50,184.375,193.25,0,
20200320,3075,C,186.625,193.125,180.25,188.75,0,
20200320,3080,C,182.625,189.125,176.25,184.875,0,
20200320,3090,C,174.50,181.125,168.25,176.75,0,
20200320,3100,C,166.625,173,160.25,168.625,0,
20200320,3110,C,158.75,165.25,152.5,160.875,0,
20200320,3120,C,150.875,157.50,144.75,153.50,0,
20200320,3125,C,147.00,153.5,141.625,149.125,0,
20200320,3130,C,143.25,149.875,137.50,145.75,0,
20200320,3140,C,135.625,142.125,129.25,137.875,0,
20200320,3150,C,128.125,134.625,122.625,130.375,0,
20200320,3160,C,120.75,127.375,114.375,123.125,0,
20200320,3170,C,113.625,119.875,107.625,115.375,0,
20200320,3175,C,110.0,116.375,104,112.125,0,
20200320,3180,C,106.5,112.625,100.375,108.375,0,
20200320,3190,C,99.375,105.875,93.625,101.25,0,
20200320,3200,C,92.625,107,66.375,94.375,0,
20200320,3210,C,85.875,92.00,80.125,87.625,0,
20200320,3220,C,79.5,85.50,73.125,81.25,0,
20200320,3230,C,73.25,79.75,48.375,74.75,0,
20200320,3240,C,67.25,73.5,59.375,68.625,0,
20200320,3250,C,61.25,73.625,55.00,62.875,0,
20200320,3400,C,10.875,12.25,4.95,8.625,0,
20200320,3410,C,7.50,12.50,4.025,7.5,0,
20200320,3420,C,6.525,11.375,3.20,6.25,0,
20200320,3430,C,7.75,7.875,5.25,5.50,0,
20200320,3440,C,6.175,7.225,3.475,4.675,0,
20200320,3450,C,4.20,4.775,2.975,4.0,0,
20200320,3460,C,3.575,4.275,2.425,3.475,0,
