#symbol_id,symbol_value,open,high,low,close,volume,open_interest
ES XCZJLC9NOB29,ES20H20,3221.5,3246.25,3220.75,3235.5,1161694,
ES XCZJLCA5YBC4|ES XCZJLC9NOB29,ES20H20  200320C03000000,0,0,0,0,0,
ES XCZJLDNG1RQC|ES XCZJLC9NOB29,ES20H20  200320C03010000,0,0,0,0,0,
ES XCZJLDNM03S4|ES XCZJLC9NOB29,ES20H20  200320C03020000,0,0,0,0,0,
ES XCZJLQ5XZD38|ES XCZJLC9NOB29,ES20H20  200320C03025000,0,0,0,0,0,
ES XCZJLDNRYFTW|ES XCZJLC9NOB29,ES20H20  200320C03030000,0,0,0,0,0,
ES XCZJLDNXWRVO|ES XCZJLC9NOB29,ES20H20  200320C03040000,0,0,0,0,0,
ES XCZJLDO3V3XG|ES XCZJLC9NOB29,ES20H20  200320C03050000,0,0,0,0,0,
ES XCZJLDO9TFZ8|ES XCZJLC9NOB29,ES20H20  200320C03060000,0,0,0,0,0,
ES XCZJLDOFRS10|ES XCZJLC9NOB29,ES20H20  200320C03070000,0,0,0,0,0,
ES XCZJLQE7O3K4|ES XCZJLC9NOB29,ES20H20  200320C03075000,0,0,0,0,0,
ES XCZJLDOLQ42S|ES XCZJLC9NOB29,ES20H20  200320C03080000,0,0,0,0,0,
ES XCZJLDOROG4K|ES XCZJLC9NOB29,ES20H20  200320C03090000,0,0,0,0,0,
ES XCZJLCESLJK4|ES XCZJLC9NOB29,ES20H20  200320C03100000,0,0,0,0,0,
ES XCZJLDP3L484|ES XCZJLC9NOB29,ES20H20  200320C03110000,0,0,0,0,0,
ES XCZJLDP9JG9W|ES XCZJLC9NOB29,ES20H20  200320C03120000,0,0,0,0,0,
ES XCZJLQMHCU10|ES XCZJLC9NOB29,ES20H20  200320C03125000,0,0,0,0,0,
ES XCZJLDPFHSBO|ES XCZJLC9NOB29,ES20H20  200320C03130000,0,0,0,0,0,
ES XCZJLDPLG4DG|ES XCZJLC9NOB29,ES20H20  200320C03140000,0,0,0,0,0,
ES XCZJLDPREGF8|ES XCZJLC9NOB29,ES20H20  200320C03150000,0,0,0,0,0,
ES XCZJLDPXCSH0|ES XCZJLC9NOB29,ES20H20  200320C03160000,0,0,0,0,0,
ES XCZJLDQ3B4IS|ES XCZJLC9NOB29,ES20H20  200320C03170000,0,0,0,0,0,
ES XCZJLQUR1KHW|ES XCZJLC9NOB29,ES20H20  200320C03175000,0,0,0,0,0,
ES XCZJLDQ99GKK|ES XCZJLC9NOB29,ES20H20  200320C03180000,0,0,0,0,0,
ES XCZJLDQF7SMC|ES XCZJLC9NOB29,ES20H20  200320C03190000,0,0,0,0,0,
ES XCZJLCEYJVLW|ES XCZJLC9NOB29,ES20H20  200320C03200000,0,0,0,0,0,
ES XCZJLDQR4GPW|ES XCZJLC9NOB29,ES20H20  200320C03210000,0,0,0,0,0,
ES XCZJLDQX2SRO|ES XCZJLC9NOB29,ES20H20  200320C03220000,0,0,0,0,0,
