#right,strike,expiry,open,high,low,close,volume,open_interest
,,,3239,3267.75,3236,3259.75,1287728,
C,3000,20200320,0,0,0,0,0,
C,3010,20200320,0,0,0,0,0,
C,3020,20200320,0,0,0,0,0,
C,3025,20200320,0,0,0,0,0,
C,3030,20200320,0,0,0,0,0,
C,3040,20200320,0,0,0,0,0,
C,3050,20200320,0,0,0,0,0,
C,3060,20200320,0,0,0,0,0,
C,3070,20200320,0,0,0,0,0,
C,3075,20200320,0,0,0,0,0,
C,3080,20200320,0,0,0,0,0,
C,3090,20200320,0,0,0,0,0,
C,3100,20200320,0,0,0,0,0,
C,3110,20200320,0,0,0,0,0,
C,3120,20200320,0,0,0,0,0,
C,3125,20200320,0,0,0,0,0,
C,3130,20200320,0,0,0,0,0,
C,3140,20200320,0,0,0,0,0,
C,3150,20200320,0,0,0,0,0,
C,3160,20200320,0,0,0,0,0,
C,3170,20200320,0,0,0,0,0,
C,3175,20200320,0,0,0,0,0,
C,3180,20200320,0,0,0,0,0,
C,3190,20200320,0,0,0,0,0,
C,3200,20200320,0,0,0,0,0,
C,3210,20200320,0,0,0,0,0,
C,3220,20200320,0,0,0,0,0,
C,3230,20200320,0,0,0,0,0,
C,3240,20200320,0,0,0,0,0,
C,3250,20200320,0,0,0,0,0,
C,3400,20200320,0,0,0,0,0,
C,3410,20200320,0,0,0,0,0,
C,3420,20200320,0,0,0,0,0,
C,3430,20200320,0,0,0,0,0,
C,3440,20200320,0,0,0,0,0,
C,3450,20200320,0,0,0,0,0,
C,3460,20200320,0,0,0,0,0,
C,3470,20200320,0,0,0,0,0,
C,3480,20200320,0,0,0,0,0,
C,3490,20200320,0,0,0,0,0,
C,3500,20200320,0,0,0,0,0,
C,3510,20200320,0,0,0,0,0,
C,3520,20200320,0,0,0,0,0,
C,3530,20200320,0,0,0,0,0,
C,3540,20200320,0,0,0,0,0,
C,3550,20200320,0,0,0,0,0,
C,3560,20200320,0,0,0,0,0,
C,3570,20200320,0,0,0,0,0,
C,3580,20200320,0,0,0,0,0,
C,3600,20200320,0,0,0,0,0,
C,3650,20200320,0,0,0,0,0,
C,3700,20200320,0,0,0,0,0,
C,3750,20200320,0,0,0,0,0,
C,3800,20200320,0,0,0,0,0,
C,3850,20200320,0,0,0,0,0,
C,3900,20200320,0,0,0,0,0,
C,3975,20200320,0,0,0,0,0,
C,4000,20200320,0,0,0,0,0,
C,4100,20200320,0,0,0,0,0,
C,4200,20200320,0,0,0,0,0,
P,3000,20200320,0,0,0,0,0,
P,3010,20200320,0,0,0,0,0,
P,3020,20200320,0,0,0,0,0,
P,3025,20200320,0,0,0,0,0,
P,3030,20200320,0,0,0,0,0,
P,3040,20200320,0,0,0,0,0,
P,3050,20200320,0,0,0,0,0,
P,3060,20200320,0,0,0,0,0,
P,3070,20200320,0,0,0,0,0,
P,3075,20200320,0,0,0,0,0,
P,3080,20200320,0,0,0,0,0,
P,3090,20200320,0,0,0,0,0,
P,3100,20200320,0,0,0,0,0,
P,3110,20200320,0,0,0,0,0,
P,3120,20200320,0,0,0,0,0,
P,3125,20200320,0,0,0,0,0,
P,3130,20200320,0,0,0,0,0,
P,3140,20200320,0,0,0,0,0,
P,3150,20200320,0,0,0,0,0,
P,3160,20200320,0,0,0,0,0,
P,3170,20200320,0,0,0,0,0,
P,3175,20200320,0,0,0,0,0,
P,3180,20200320,0,0,0,0,0,
P,3190,20200320,0,0,0,0,0,
P,3200,20200320,0,0,0,0,0,
P,3210,20200320,0,0,0,0,0,
P,3220,20200320,0,0,0,0,0,
P,3230,20200320,0,0,0,0,0,
P,3240,20200320,0,0,0,0,0,
P,3250,20200320,0,0,0,0,0,
P,3260,20200320,0,0,0,0,0,
P,3270,20200320,0,0,0,0,0,
P,3280,20200320,0,0,0,0,0,
P,3290,20200320,0,0,0,0,0,
P,3300,20200320,0,0,0,0,0,
P,3310,20200320,0,0,0,0,0,
P,3320,20200320,0,0,0,0,0,
P,3330,20200320,0,0,0,0,0,
P,3340,20200320,0,0,0,0,0,
P,3350,20200320,0,0,0,0,0,
P,3360,20200320,0,0,0,0,0,
P,3370,20200320,0,0,0,0,0,
P,3380,20200320,0,0,0,0,0,
P,3390,20200320,0,0,0,0,0,
