#expiry,strike,right,open,high,low,close,volume,open_interest
,,,3222,3222.75,3216.25,3222.25,0,
20200619,2950,C,326,332.875,319.75,328.875,0,
20200619,2960,C,317.875,324.50,311.625,320.25,0,
20200619,2970,C,309.75,316.25,303.375,312.0,0,
20200619,2980,C,301.50,308.125,295.375,303.875,0,
20200619,2990,C,293.50,299.875,287.125,295.75,0,
20200619,3000,C,285.375,292.125,279.125,288.125,0,
20200619,3010,C,277.5,284.125,271.125,280.0,0,
20200619,3020,C,269.5,276.125,263.125,272.25,0,
20200619,3030,C,261.625,268.00,255.375,263.875,0,
20200619,3040,C,253.75,260.375,248.25,256.25,0,
20200619,3050,C,246.125,252.625,240.5,248.5,0,
20200619,3060,C,238.375,244.875,232.00,241.00,0,
20200619,3070,C,230.75,237.125,224.375,233.125,0,
20200619,3080,C,223.125,229.375,216.875,225.125,0,
20200619,3090,C,215.625,221.875,210.125,217.875,0,
20200619,3100,C,208.00,214.375,201.75,210.375,0,
20200619,3110,C,200.625,207.25,195.125,202.875,0,
20200619,3120,C,193.25,199.875,186.875,195.625,0,
20200619,3130,C,186.125,192.625,179.75,188.375,0,
20200619,3140,C,178.875,185.125,173.125,180.625,0,
20200619,3150,C,171.75,178.25,166.125,174.00,0,
20200619,3160,C,164.625,170.75,158.375,165.625,0,
20200619,3170,C,157.75,164.375,152.25,160.00,0,
20200619,3180,C,150.875,157.00,145.375,152.875,0,
20200619,3190,C,144.125,150.25,138.625,145.00,0,
20200619,3200,C,137.50,143.50,132.00,139.375,0,
20200619,3210,C,130.875,137.00,125.375,133.00,0,
20200619,3220,C,124.5,130.625,118.50,126.50,0,
20200619,3230,C,118.25,124.25,112.625,120.125,0,
20200619,3240,C,112.25,118.00,106.25,113.875,0,
20200619,3250,C,69.5,122.625,52.5,107.875,0,
20200619,3260,C,100.375,106.125,94.625,101.875,0,
20200619,3270,C,94.625,100.25,88.875,96,0,
20200619,3280,C,89.125,94.875,83.125,90.375,0,
20200619,3290,C,83.625,89.125,77.875,85,0,
20200619,3300,C,78.375,84.125,72.5,79.5,0,
20200619,3310,C,73.25,78.75,67.375,74.5,0,
20200619,3320,C,68.50,73.875,62.125,69.5,0,
20200619,3330,C,63.75,69.125,57.50,64.625,0,
20200619,3340,C,59.25,64.625,53.00,60,0,
20200619,3350,C,55.0,60.25,48.875,55.75,0,
20200619,3360,C,50.875,56.125,45.0,51.5,0,
20200619,3370,C,47.00,52.125,41.25,47.50,0,
20200619,3380,C,43.25,48.375,37.125,43.875,0,
20200619,3390,C,39.875,44.875,33.875,40.375,0,
20200619,3400,C,30.5,41.75,25.125,37.00,0,
20200619,3410,C,33.625,38.50,27.625,33.875,0,
20200619,3420,C,30.75,35.625,24.50,31.00,0,
20200619,3430,C,28.125,32.75,21.875,28.25,0,
20200619,3440,C,25.625,30.375,19.50,25.75,0,
20200619,3450,C,23.50,28.125,17.25,23.50,0,
20200619,3460,C,21.375,26.00,15.25,21.375,0,
20200619,3470,C,19.375,24.00,13.5,19.375,0,
20200619,3480,C,17.625,22.375,11.75,17.625,0,
20200619,3490,C,16.125,20.875,10.20,16.125,0,
20200619,3500,C,14.625,19.375,8.925,14.625,0,
20200619,2900,P,60,70.5,40.25,49.875,0,
20200619,2910,P,52.125,57.875,46.875,51.375,0,
20200619,2920,P,53.75,59.875,48.375,53,0,
20200619,2930,P,55.25,61.00,49.875,54.625,0,
20200619,2940,P,57.0,62.625,51.375,56.125,0,
20200619,2950,P,58.625,64.375,53.25,57.875,0,
20200619,2960,P,60.25,66.125,54.875,59.5,0,
20200619,2970,P,62.00,68.125,56.625,61.125,0,
20200619,2980,P,63.75,69.625,58.5,63,0,
20200619,2990,P,65.625,71.50,60.25,64.75,0,
20200619,3000,P,68.75,70.5,61.875,66.625,0,
20200619,3010,P,69.375,75.25,64,68.5,0,
20200619,3020,P,71.25,77.375,66,70.5,0,
20200619,3030,P,73.25,79.625,68,72.5,0,
20200619,3040,P,75.375,81.50,70.125,74.375,0,
20200619,3050,P,137.375,139.25,72.375,76.5,0,
20200619,3060,P,79.625,85.75,74.5,78.625,0,
20200619,3070,P,81.875,88.5,76.50,80.875,0,
20200619,3080,P,84.25,90.375,79.125,83.25,0,
20200619,3090,P,86.50,92.875,81.375,85.5,0,
20200619,3100,P,88.875,95.375,83.875,88,0,
20200619,3110,P,91.375,97.875,86.25,90.25,0,
20200619,3120,P,93.875,100.50,88.875,93,0,
20200619,3130,P,96.625,103.00,91.625,95.625,0,
20200619,3140,P,99.375,106.125,94.375,98.375,0,
20200619,3150,P,102.25,108.625,97.125,101.125,0,
20200619,3160,P,105.0,112.25,100.125,103.875,0,
20200619,3170,P,108.0,114.50,103.125,106.875,0,
20200619,3180,P,111.125,117.50,106.125,109.875,0,
20200619,3190,P,114.25,120.875,108.875,113.00,0,
20200619,3200,P,157.125,159.375,112.50,116.125,0,
20200619,3210,P,121.0,127.50,115.875,119.50,0,
20200619,3220,P,124.5,131.00,119.25,122.875,0,
20200619,3230,P,128.125,134.50,123.00,126.50,0,
20200619,3240,P,132.75,138.875,126.75,130.50,0,
20200619,3250,P,136.625,142.375,130.375,134.50,0,
20200619,3260,P,140.625,146.5,134.75,138.25,0,
20200619,3270,P,144.875,150.375,138.875,143.75,0,
20200619,3280,P,149.125,155.50,143.25,148.375,0,
20200619,3290,P,153.625,160.00,147.75,152.75,0,
20200619,3300,P,158.25,164.75,152.00,156.00,0,
20200619,3310,P,163.125,169.50,156.75,161.0,0,
20200619,3320,P,168.125,174.625,161.75,166.0,0,
20200619,3330,P,173.5,179.75,167.125,171.375,0,
20200619,3340,P,178.875,185.375,172.375,176.625,0,
20200619,3350,P,184.375,191.00,178.125,182.375,0,
20200619,3360,P,190.25,196.75,183.875,188.125,0,
20200619,3370,P,196.25,202.625,189.875,194.125,0,
20200619,3380,P,202.5,209.00,196.00,200.25,0,
20200619,3390,P,208.875,215.50,202.375,206.75,0,
20200619,3400,P,215.625,222.125,209.00,213.25,0,
