#right,strike,expiry,open,high,low,close,volume,open_interest
,,,3222,3222.75,3216.25,3222.25,0,
C,2950,20200619,326,332.875,319.75,328.875,0,
C,2960,20200619,317.875,324.50,311.625,320.25,0,
C,2970,20200619,309.75,316.25,303.375,312.0,0,
C,2980,20200619,301.50,308.125,295.375,303.875,0,
C,2990,20200619,293.50,299.875,287.125,295.75,0,
C,3000,20200619,285.375,292.125,279.125,288.125,0,
C,3010,20200619,277.5,284.125,271.125,280.0,0,
C,3020,20200619,269.5,276.125,263.125,272.25,0,
C,3030,20200619,261.625,268.00,255.375,263.875,0,
C,3040,20200619,253.75,260.375,248.25,256.25,0,
C,3050,20200619,246.125,252.625,240.5,248.5,0,
C,3060,20200619,238.375,244.875,232.00,241.00,0,
C,3070,20200619,230.75,237.125,224.375,233.125,0,
C,3080,20200619,223.125,229.375,216.875,225.125,0,
C,3090,20200619,215.625,221.875,210.125,217.875,0,
C,3100,20200619,208.00,214.375,201.75,210.375,0,
C,3110,20200619,200.625,207.25,195.125,202.875,0,
C,3120,20200619,193.25,199.875,186.875,195.625,0,
C,3130,20200619,186.125,192.625,179.75,188.375,0,
C,3140,20200619,178.875,185.125,173.125,180.625,0,
C,3150,20200619,171.75,178.25,166.125,174.00,0,
C,3160,20200619,164.625,170.75,158.375,165.625,0,
C,3170,20200619,157.75,164.375,152.25,160.00,0,
C,3180,20200619,150.875,157.00,145.375,152.875,0,
C,3190,20200619,144.125,150.25,138.625,145.00,0,
C,3200,20200619,137.50,143.50,132.00,139.375,0,
C,3210,20200619,130.875,137.00,125.375,133.00,0,
C,3220,20200619,124.5,130.625,118.50,126.50,0,
C,3230,20200619,118.25,124.25,112.625,120.125,0,
C,3240,20200619,112.25,118.00,106.25,113.875,0,
C,3250,20200619,69.5,122.625,52.5,107.875,0,
C,3260,20200619,100.375,106.125,94.625,101.875,0,
C,3270,20200619,94.625,100.25,88.875,96,0,
C,3280,20200619,89.125,94.875,83.125,90.375,0,
C,3290,20200619,83.625,89.125,77.875,85,0,
C,3300,20200619,78.375,84.125,72.5,79.5,0,
C,3310,20200619,73.25,78.75,67.375,74.5,0,
C,3320,20200619,68.50,73.875,62.125,69.5,0,
C,3330,20200619,63.75,69.125,57.50,64.625,0,
C,3340,20200619,59.25,64.625,53.00,60,0,
C,3350,20200619,55.0,60.25,48.875,55.75,0,
C,3360,20200619,50.875,56.125,45.0,51.5,0,
C,3370,20200619,47.00,52.125,41.25,47.50,0,
C,3380,20200619,43.25,48.375,37.125,43.875,0,
C,3390,20200619,39.875,44.875,33.875,40.375,0,
C,3400,20200619,30.5,41.75,25.125,37.00,0,
C,3410,20200619,33.625,38.50,27.625,33.875,0,
C,3420,20200619,30.75,35.625,24.50,31.00,0,
C,3430,20200619,28.125,32.75,21.875,28.25,0,
C,3440,20200619,25.625,30.375,19.50,25.75,0,
C,3450,20200619,23.50,28.125,17.25,23.50,0,
C,3460,20200619,21.375,26.00,15.25,21.375,0,
C,3470,20200619,19.375,24.00,13.5,19.375,0,
C,3480,20200619,17.625,22.375,11.75,17.625,0,
C,3490,20200619,16.125,20.875,10.20,16.125,0,
C,3500,20200619,14.625,19.375,8.925,14.625,0,
P,2900,20200619,60,70.5,40.25,49.875,0,
P,2910,20200619,52.125,57.875,46.875,51.375,0,
P,2920,20200619,53.75,59.875,48.375,53,0,
P,2930,20200619,55.25,61.00,49.875,54.625,0,
P,2940,20200619,57.0,62.625,51.375,56.125,0,
P,2950,20200619,58.625,64.375,53.25,57.875,0,
P,2960,20200619,60.25,66.125,54.875,59.5,0,
P,2970,20200619,62.00,68.125,56.625,61.125,0,
P,2980,20200619,63.75,69.625,58.5,63,0,
P,2990,20200619,65.625,71.50,60.25,64.75,0,
P,3000,20200619,68.75,70.5,61.875,66.625,0,
P,3010,20200619,69.375,75.25,64,68.5,0,
P,3020,20200619,71.25,77.375,66,70.5,0,
P,3030,20200619,73.25,79.625,68,72.5,0,
P,3040,20200619,75.375,81.50,70.125,74.375,0,
P,3050,20200619,137.375,139.25,72.375,76.5,0,
P,3060,20200619,79.625,85.75,74.5,78.625,0,
P,3070,20200619,81.875,88.5,76.50,80.875,0,
P,3080,20200619,84.25,90.375,79.125,83.25,0,
P,3090,20200619,86.50,92.875,81.375,85.5,0,
P,3100,20200619,88.875,95.375,83.875,88,0,
P,3110,20200619,91.375,97.875,86.25,90.25,0,
P,3120,20200619,93.875,100.50,88.875,93,0,
P,3130,20200619,96.625,103.00,91.625,95.625,0,
P,3140,20200619,99.375,106.125,94.375,98.375,0,
P,3150,20200619,102.25,108.625,97.125,101.125,0,
P,3160,20200619,105.0,112.25,100.125,103.875,0,
P,3170,20200619,108.0,114.50,103.125,106.875,0,
P,3180,20200619,111.125,117.50,106.125,109.875,0,
P,3190,20200619,114.25,120.875,108.875,113.00,0,
P,3200,20200619,157.125,159.375,112.50,116.125,0,
P,3210,20200619,121.0,127.50,115.875,119.50,0,
P,3220,20200619,124.5,131.00,119.25,122.875,0,
P,3230,20200619,128.125,134.50,123.00,126.50,0,
P,3240,20200619,132.75,138.875,126.75,130.50,0,
P,3250,20200619,136.625,142.375,130.375,134.50,0,
P,3260,20200619,140.625,146.5,134.75,138.25,0,
P,3270,20200619,144.875,150.375,138.875,143.75,0,
P,3280,20200619,149.125,155.50,143.25,148.375,0,
P,3290,20200619,153.625,160.00,147.75,152.75,0,
P,3300,20200619,158.25,164.75,152.00,156.00,0,
P,3310,20200619,163.125,169.50,156.75,161.0,0,
P,3320,20200619,168.125,174.625,161.75,166.0,0,
P,3330,20200619,173.5,179.75,167.125,171.375,0,
P,3340,20200619,178.875,185.375,172.375,176.625,0,
P,3350,20200619,184.375,191.00,178.125,182.375,0,
P,3360,20200619,190.25,196.75,183.875,188.125,0,
P,3370,20200619,196.25,202.625,189.875,194.125,0,
P,3380,20200619,202.5,209.00,196.00,200.25,0,
P,3390,20200619,208.875,215.50,202.375,206.75,0,
P,3400,20200619,215.625,222.125,209.00,213.25,0,
