#expiry,strike,right,open,high,low,close,volume,open_interest
,,,3239.25,3267.5,3237.5,3260.5,725,
20200619,2950,C,0,0,0,0,0,
20200619,2960,C,0,0,0,0,0,
20200619,2970,C,0,0,0,0,0,
20200619,2980,C,0,0,0,0,0,
20200619,2990,C,0,0,0,0,0,
20200619,3000,C,0,0,0,0,0,
20200619,3010,C,0,0,0,0,0,
20200619,3020,C,0,0,0,0,0,
20200619,3030,C,0,0,0,0,0,
20200619,3040,C,0,0,0,0,0,
20200619,3050,C,0,0,0,0,0,
20200619,3060,C,0,0,0,0,0,
20200619,3070,C,0,0,0,0,0,
20200619,3080,C,0,0,0,0,0,
20200619,3090,C,0,0,0,0,0,
20200619,3100,C,0,0,0,0,0,
20200619,3110,C,0,0,0,0,0,
20200619,3120,C,0,0,0,0,0,
20200619,3130,C,0,0,0,0,0,
20200619,3140,C,0,0,0,0,0,
20200619,3150,C,0,0,0,0,0,
20200619,3160,C,0,0,0,0,0,
20200619,3170,C,0,0,0,0,0,
20200619,3180,C,0,0,0,0,0,
20200619,3190,C,0,0,0,0,0,
20200619,3200,C,0,0,0,0,0,
20200619,3210,C,0,0,0,0,0,
20200619,3220,C,0,0,0,0,0,
20200619,3230,C,0,0,0,0,0,
20200619,3240,C,0,0,0,0,0,
20200619,3250,C,0,0,0,0,0,
20200619,3260,C,0,0,0,0,0,
20200619,3270,C,0,0,0,0,0,
20200619,3280,C,0,0,0,0,0,
20200619,3290,C,0,0,0,0,0,
20200619,3300,C,0,0,0,0,0,
20200619,3310,C,0,0,0,0,0,
20200619,3320,C,0,0,0,0,0,
20200619,3330,C,0,0,0,0,0,
20200619,3340,C,0,0,0,0,0,
20200619,3350,C,0,0,0,0,0,
20200619,3360,C,0,0,0,0,0,
20200619,3370,C,0,0,0,0,0,
20200619,3380,C,0,0,0,0,0,
20200619,3390,C,0,0,0,0,0,
20200619,3400,C,0,0,0,0,0,
20200619,3410,C,0,0,0,0,0,
20200619,3420,C,0,0,0,0,0,
20200619,3430,C,0,0,0,0,0,
20200619,3440,C,0,0,0,0,0,
20200619,3450,C,0,0,0,0,0,
20200619,3460,C,0,0,0,0,0,
20200619,3470,C,0,0,0,0,0,
20200619,3480,C,0,0,0,0,0,
20200619,3490,C,0,0,0,0,0,
20200619,3500,C,0,0,0,0,0,
20200619,2900,P,0,0,0,0,0,
20200619,2910,P,0,0,0,0,0,
20200619,2920,P,0,0,0,0,0,
20200619,2930,P,0,0,0,0,0,
20200619,2940,P,0,0,0,0,0,
20200619,2950,P,0,0,0,0,0,
20200619,2960,P,0,0,0,0,0,
20200619,2970,P,0,0,0,0,0,
20200619,2980,P,0,0,0,0,0,
20200619,2990,P,0,0,0,0,0,
20200619,3000,P,0,0,0,0,0,
20200619,3010,P,0,0,0,0,0,
20200619,3020,P,0,0,0,0,0,
20200619,3030,P,0,0,0,0,0,
20200619,3040,P,0,0,0,0,0,
20200619,3050,P,0,0,0,0,0,
20200619,3060,P,0,0,0,0,0,
20200619,3070,P,0,0,0,0,0,
20200619,3080,P,0,0,0,0,0,
20200619,3090,P,0,0,0,0,0,
20200619,3100,P,0,0,0,0,0,
20200619,3110,P,0,0,0,0,0,
20200619,3120,P,0,0,0,0,0,
20200619,3130,P,0,0,0,0,0,
20200619,3140,P,0,0,0,0,0,
20200619,3150,P,0,0,0,0,0,
20200619,3160,P,0,0,0,0,0,
20200619,3170,P,0,0,0,0,0,
20200619,3180,P,0,0,0,0,0,
20200619,3190,P,0,0,0,0,0,
20200619,3200,P,0,0,0,0,0,
20200619,3210,P,0,0,0,0,0,
20200619,3220,P,0,0,0,0,0,
20200619,3230,P,0,0,0,0,0,
20200619,3240,P,0,0,0,0,0,
20200619,3250,P,0,0,0,0,0,
20200619,3260,P,0,0,0,0,0,
20200619,3270,P,0,0,0,0,0,
20200619,3280,P,0,0,0,0,0,
20200619,3290,P,0,0,0,0,0,
20200619,3300,P,0,0,0,0,0,
20200619,3310,P,0,0,0,0,0,
20200619,3320,P,0,0,0,0,0,
20200619,3330,P,0,0,0,0,0,
20200619,3340,P,0,0,0,0,0,
20200619,3350,P,0,0,0,0,0,
20200619,3360,P,0,0,0,0,0,
20200619,3370,P,0,0,0,0,0,
20200619,3380,P,0,0,0,0,0,
20200619,3390,P,0,0,0,0,0,
20200619,3400,P,0,0,0,0,0,
