#right,strike,expiry,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,3764.61,3769.99,3764.61,3766.63,59,,,,,,,
C,3700,20210104,0,0,0,0,0,,0,0,0,0,0,0
C,3700,20210106,0,0,0,0,0,,0,0,0,0,0,0
C,3700,20210108,0,0,0,0,0,,0,0,0,0,0,0
C,3800,20210104,0,0,0,0,0,,0,0,0,0,0,0
C,3800,20210106,0,0,0,0,0,,0,0,0,0,0,0
C,3800,20210108,0,0,0,0,0,,0,0,0,0,0,0
P,3700,20210104,0,0,0,0,0,,0,0,0,0,0,0
P,3700,20210106,0,0,0,0,0,,0,0,0,0,0,0
P,3700,20210108,0,0,0,0,0,,0,0,0,0,0,0
P,3800,20210104,0,0,0,0,0,,0,0,0,0,0,0
P,3800,20210106,0,0,0,0,0,,0,0,0,0,0,0
P,3800,20210108,0,0,0,0,0,,0,0,0,0,0,0
