date,initial,maintenance
20010108,810,600
20011211,945,700
20020409,810,600
20030206,878,650
20030605,810,600
20030812,945,700
20030902,1080,800
20040102,945,700
20040226,810,600
20040407,945,700
20060515,743,550
20071127,878,650
20090414,990,900
20090519,935,850
20090730,1045,950
20100813,935,850
20110621,825,750
20110822,770,700
20120117,742.5,675
20120217,687.5,625
20130115,605,550
20130305,550,500
20130621,605,550
20130702,715,650
20130710,880,800
20130716,495,450
20130910,451,410
20130917,770,700
20140321,638,580
20140613,797.5,725
20140919,715,650
20141017,632.5,575
20141212,275,250
20150109,495,450
20150206,198,180
20150213,550,500
20150304,231,210
20150313,253,230
20150320,605,550
20151106,302.5,275
20160603,643.5,585
