date,initial,maintenance
20000101,642,475
20000203,574,425
20000530,473,350
20000629,473,350
20000803,473,350
20001005,540,400
20001102,473,350
20010104,540,400
20010122,675,500
20010301,810,600
20010705,675,500
20011004,743,550
20011101,810,600
20020430,1013,750
20020530,810,600
20021205,675,500
20030102,743,550
20030306,810,600
20031008,945,700
20031010,1215,900
20031013,1350,1000
20031014,1620,1200
20031015,2025,1500
20031016,2700,2000
20031020,1620,1200
20031226,2160,1600
20031229,2700,2000
20040226,1620,1200
20040325,1350,1000
20040624,1620,1200
20040901,1418,1050
20050401,1215,900
20050428,1080,800
20051005,945,700
20060717,1148,850
20070125,1013,750
20070731,945,700
20070911,1080,800
20081006,1485,1100
20081008,1620,1200
20090506,1155,1050
20090605,880,800
20100702,770,700
20100930,935,850
20101011,1100,1000
20110325,1320,1200
20121120,1100,1000
20130702,1100,1000
20130820,825,750
20130924,825,750
20140228,935,850
20140522,1100,1000
20140613,1320,1200
20140905,2200,2000
20141006,1320,1200
20151002,1540,1400
20151008,1980,1800
