#expiry,strike,right,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,633.4900,633.5000,633.2800,633.4000,131,,,,,,,
20140606,490,C,142.9500,145.2750,132.9000,138.3250,0,,1.4964998,0.9684187,0.0007859,0.0381194,-0.5170732,0.0386689
20140606,492.5,C,140.5000,142.7750,130.4750,135.8250,0,,2.5718619,0.8738987,0.0013980,0.1165357,-4.6034582,0.0332522
20140606,495,C,138.0000,140.2250,127.9750,133.4250,0,,2.3568193,0.8859806,0.0014188,0.1083790,-3.8601120,0.0342463
20140606,497.5,C,135.5000,137.8000,125.5000,130.9250,0,,0.8175167,0.9970449,0.0000571,0.0015139,0.4256214,0.0408471
20140606,500,C,85.3900,85.7000,85.3900,85.7000,0,3,0,0.9978176,0.0000000,0.0000000,0.4465405,0.0410934
20140606,502.5,C,130.4250,132.8000,120.5000,125.9500,0,,1.3964317,0.9631864,0.0009642,0.0436403,-0.5845742,0.0394157
20140606,505,C,129.0800,129.0800,129.0800,129.0800,0,5,2.9048368,0.8284658,0.0015269,0.1437578,-6.5884379,0.0313566
20140606,507.5,C,125.4250,127.7500,115.5000,120.9750,0,,2.9308282,0.8221593,0.0015490,0.1471467,-6.8190875,0.0311541
20140606,510,C,92.0200,92.0200,92.0200,92.0200,0,1,0,0.9978176,0.0000000,0.0000000,0.4463350,0.0419152
20140606,512.5,C,120.4250,122.8750,110.6750,115.9750,0,,2.2683650,0.8593397,0.0017114,0.1258259,-4.3721019,0.0341437
20140606,515,C,80.1500,80.1500,80.1500,80.1500,0,1,0,0.9978176,0.0000000,0.0000000,0.4462323,0.0423262
20140606,517.5,C,115.4250,118.7000,105.4750,110.9750,0,,1.2459515,0.9587116,0.0011935,0.0481990,-0.5720866,0.0404153
20140606,520,C,69.2000,69.2000,69.2000,69.2000,0,15,0,0.9978176,0.0000000,0.0000000,0.4461296,0.0427371
20140606,522.5,C,110.4250,112.8250,100.6250,105.8250,0,,2.2666036,0.8376806,0.0018872,0.1386439,-4.8624306,0.0336820
20140606,525,C,103.0000,103.0000,101.7500,101.7500,10,10,0,0.9978176,0.0000000,0.0000000,0.4460268,0.0431480
20140606,527.5,C,101.1100,101.1100,101.1100,101.1100,1,2,0,0.9978176,0.0000000,0.0000000,0.4459755,0.0433535
20140606,530,C,110.7900,110.8500,105.5000,105.5000,0,10,0,0.9978176,0.0000000,0.0000000,0.4459241,0.0435590
20140606,532.5,C,100.5500,102.7750,90.4500,95.8250,0,,1.0624623,0.9577952,0.0014263,0.0491155,-0.4416342,0.0416131
20140606,535,C,94.5000,94.5000,94.5000,94.5000,0,5,0,0.9978176,0.0000000,0.0000000,0.4458214,0.0439699
20140606,537.5,C,52.9700,52.9700,52.9700,52.9700,0,2,0,0.9978176,0.0000000,0.0000000,0.4457700,0.0441754
20140606,540,C,88.0000,88.0000,88.0000,88.0000,1,13,0,0.9978176,0.0000000,0.0000000,0.4457186,0.0443808
20140606,542.5,C,47.8300,48.3000,47.8300,48.3000,0,6,0,0.9978176,0.0000000,0.0000000,0.4456673,0.0445863
20140606,545,C,90.1600,90.1600,90.1600,90.1600,0,14,0,0.9978176,0.0000000,0.0000000,0.4456159,0.0447918
20140606,547.5,C,42.9600,43.0100,42.9600,43.0100,0,24,0,0.9978176,0.0000000,0.0000000,0.4455645,0.0449972
20140606,550,C,79.4000,81.2000,73.8000,76.5500,44,215,0,0.9978176,0.0000000,0.0000000,0.4455132,0.0452027
20140606,552.5,C,37.9600,38.0100,37.9600,38.0100,0,40,0,0.9978176,0.0000000,0.0000000,0.4454618,0.0454082
20140606,555,C,70.5600,70.5600,70.5600,70.5600,0,17,0,0.9978176,0.0000000,0.0000000,0.4454104,0.0456136
20140606,557.5,C,52.6200,52.6200,52.6200,52.6200,0,1,0,0.9978176,0.0000000,0.0000000,0.4453591,0.0458191
20140606,560,C,68.0000,71.5000,67.5000,71.5000,24,184,0,0.9978176,0.0000000,0.0000000,0.4453077,0.0460246
20140606,562.5,C,33.8500,33.8500,33.8500,33.8500,0,122,0,0.9978176,0.0000000,0.0000000,0.4452563,0.0462300
20140606,565,C,63.8500,66.6500,60.4500,60.4500,10,442,0,0.9978176,0.0000000,0.0000000,0.4452050,0.0464355
20140606,567.5,C,66.6000,67.8750,55.7000,60.6500,0,,0.6855819,0.9477728,0.0026460,0.0587963,-0.2489218,0.0439864
20140606,570,C,60.2000,61.8500,54.7000,55.3500,44,363,0,0.9978176,0.0000000,0.0000000,0.4451022,0.0468464
20140606,572.5,C,61.5250,62.8750,50.7000,55.5500,0,,3.6312757,0.6694205,0.0017480,0.2057278,-12.1508489,0.0256453
20140606,575,C,59.0000,59.0000,50.2500,50.2500,27,491,0,0.9978176,0.0000000,0.0000000,0.4449995,0.0472574
20140606,577.5,C,56.6000,57.8500,45.7250,50.5750,0,,3.8568730,0.6581958,0.0016676,0.2084587,-13.1048726,0.0249010
