#right,strike,expiry,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,94.2800,94.2900,94.2800,93.7700,3068,,,,,,,
C,27.86,20150117,66.1000,67.5250,65.1750,65.8500,0,2884,0,0.8286846,0.0000000,0.0000000,0.0661705,0.1664095
C,28.57,20150117,65.5000,66.5250,64.4750,65.1500,0,406,0,0.8286846,0.0000000,0.0000000,0.0661560,0.1706503
C,29.29,20150117,64.6750,65.8250,63.8500,64.2250,0,168,0,0.8286846,0.0000000,0.0000000,0.0661412,0.1749509
C,30,20150117,63.9750,65.1000,63.1250,63.9250,0,28,0,0.8286846,0.0000000,0.0000000,0.0661267,0.1791918
C,30.71,20150117,63.2750,64.3750,62.4250,63.2250,0,189,0,0.8286846,0.0000000,0.0000000,0.0661122,0.1834327
C,31.43,20150117,62.6250,63.9750,61.4250,62.0750,0,21,0,0.8286846,0.0000000,0.0000000,0.0660975,0.1877333
C,32.14,20150117,61.9900,62.2000,61.9900,62.2000,0,248,0,0.8286846,0.0000000,0.0000000,0.0660829,0.1919742
C,32.86,20150117,60.9000,61.1000,60.9000,61.1000,14,161,0,0.8286846,0.0000000,0.0000000,0.0660682,0.1962748
C,33.57,20140719,60.7000,60.7000,60.7000,60.7000,1,141,0,0.9687504,0.0000000,0.0000000,0.0773317,0.0340040
C,33.57,20150117,60.3000,60.3000,60.2000,60.2000,21,112,0,0.8286846,0.0000000,0.0000000,0.0660537,0.2005156
C,34.29,20140719,59.6750,60.7750,58.9750,59.7250,0,,2.7508484,0.9103326,0.0014548,0.0346219,-0.0559144,0.0260712
C,34.29,20150117,59.6000,59.6500,59.6000,59.6500,21,56,1.9472583,0.7484899,0.0012102,0.1032257,0.0140968,0.0855197
C,34.29,20160115,58.6900,58.6900,58.6900,58.6900,0,542,0,0.6068993,0.0000000,0.0000000,0.0481821,0.5402614
C,35,20140719,59.0250,60.0750,58.2500,59.0250,0,,2.7030339,0.9089631,0.0015076,0.0352547,-0.0561111,0.0266504
C,35.71,20140719,58.2750,59.1500,57.7500,58.3000,0,,2.6493034,0.9077927,0.0015616,0.0357918,-0.0555810,0.0272740
C,35.71,20150117,58.0000,58.0000,58.0000,58.0000,2,1171,0,0.8286846,0.0000000,0.0000000,0.0660099,0.2132980
C,35.71,20160115,58.2750,59.7500,57.1500,58.2500,0,56,3.6390665,0.6019490,0.0000517,0.0160379,0.0434554,0.0079557
C,36.43,20140719,57.6000,58.6000,57.0500,57.6000,0,,2.6057544,0.9062860,0.0016181,0.0364782,-0.0560244,0.0278402
C,37.14,20140719,56.8250,57.9250,56.0500,56.8750,0,,2.5543241,0.9050927,0.0016752,0.0370179,-0.0554608,0.0284616
C,37.14,20141018,56.8250,57.7500,56.3250,56.8000,0,,2.1222383,0.8062645,0.0014893,0.0874869,-0.0079797,0.0661957
C,37.14,20150117,56.9000,58.0250,56.0000,56.5750,0,833,0,0.8286846,0.0000000,0.0000000,0.0659807,0.2218395
C,37.14,20160115,56.8250,58.3000,55.6250,56.7000,0,14,0,0.6068993,0.0000000,0.0000000,0.0481242,0.5851650
C,37.86,20140621,57.4000,57.4000,57.4000,57.4000,0,10,1.9793451,0.9911803,0.0001297,0.0005534,0.0729669,0.0093051
C,37.86,20140719,56.1750,57.0000,55.6250,56.1500,0,,2.5060444,0.9037789,0.0017346,0.0376081,-0.0551624,0.0290715
C,37.86,20140816,56.1750,57.2250,55.3000,55.9000,0,,2.2107646,0.8666926,0.0017550,0.0575665,-0.0286184,0.0453178
C,37.86,20141018,56.1250,57.2000,55.3500,55.8500,0,,2.0565030,0.8039808,0.0015653,0.0891035,-0.0072309,0.0687751
C,37.86,20150117,55.8750,57.2250,55.2750,56.0750,0,,2.0838569,0.7420260,0.0011967,0.1092308,0.0075139,0.0814294
C,38.57,20140621,55.4000,56.4750,54.5750,55.1250,0,,1.9404958,0.9911574,0.0001348,0.0005636,0.0729593,0.0094796
C,38.57,20140719,55.4000,56.4750,54.5750,55.4500,0,,2.4633534,0.9023270,0.0017951,0.0382555,-0.0552766,0.0296430
C,38.57,20140816,55.4750,56.4750,54.5750,55.1750,0,,0.7692275,0.9427964,0.0003116,0.0035566,0.0730411,0.0680470
C,38.57,20141018,55.4250,56.3250,54.7250,55.1250,0,,2.0169178,0.8016557,0.0016251,0.0907308,-0.0073329,0.0705522
C,38.57,20150117,55.1750,56.5750,54.5750,55.1250,0,560,0,0.8286846,0.0000000,0.0000000,0.0659514,0.2303809
C,38.57,20160115,55.4500,56.8750,54.2750,55.0500,0,14,0,0.6068993,0.0000000,0.0000000,0.0480952,0.6076956
C,39.29,20140621,55.3000,55.3000,55.3000,55.3000,0,9845,1.9030833,0.9911267,0.0001408,0.0005774,0.0729136,0.0096563
C,39.29,20140719,54.6750,55.5750,54.1250,54.7250,0,,2.4170224,0.9009813,0.0018580,0.0388513,-0.0549479,0.0302499
C,39.29,20140816,54.7000,55.7500,53.8750,54.4500,0,,0.7531183,0.9427368,0.0003241,0.0036211,0.0730283,0.0693176
C,39.29,20141018,54.6750,55.7750,54.1750,54.6500,0,,2.0059249,0.7991449,0.0016653,0.0924675,-0.0085112,0.0713915
C,39.29,20150117,54.7500,56.0500,53.7750,54.6500,0,,2.0028550,0.7363188,0.0013036,0.1143644,0.0067086,0.0867653
C,40,20140621,53.9500,54.8500,53.2250,53.7250,0,7,0,0.9923072,0.0000000,0.0000000,0.0790964,0.0098612
C,40,20140719,54.0250,54.8750,53.5000,54.0250,0,,2.3760459,0.8994898,0.0019219,0.0395066,-0.0550325,0.0308175
C,40,20140816,54.0000,55.0250,53.1500,53.7500,0,,0.7375972,0.9426744,0.0003370,0.0036884,0.0730139,0.0705699
C,40,20141018,53.9750,54.8750,53.4750,53.9500,0,,1.9704245,0.7967486,0.0017253,0.0941052,-0.0086922,0.0730576
C,40,20150117,53.7250,55.3500,52.8500,54.1500,0,196,0,0.8286846,0.0000000,0.0000000,0.0659222,0.2389224
C,40,20160115,53.7000,53.7100,53.6000,53.6000,0,69,0,0.6068993,0.0000000,0.0000000,0.0480662,0.6302262
C,40.71,20140621,53.2750,54.6500,52.5750,53.0000,0,9807,1.8268397,0.9910902,0.0001508,0.0005937,0.0729606,0.0100056
C,40.71,20140719,53.3250,54.3500,52.7250,53.3000,0,,2.3295545,0.8982333,0.0019875,0.0400549,-0.0543900,0.0314330
C,40.71,20140816,53.2750,54.3750,52.4500,53.0500,0,14,0.7224095,0.9426088,0.0003507,0.0037591,0.0729980,0.0718216
C,40.71,20141018,53.2750,54.3500,52.5000,53.0000,0,,1.9096040,0.7944936,0.0018091,0.0956292,-0.0077901,0.0756468
C,40.71,20150117,53.0250,54.3750,52.4250,52.7750,0,,1.8886289,0.7295901,0.0014533,0.1202239,0.0065971,0.0942260
C,41.43,20140621,52.5250,53.4250,51.8000,52.2750,0,,1.7908037,0.9910613,0.0001572,0.0006066,0.0729340,0.0101824
C,41.43,20140719,52.6000,53.6250,51.7250,52.6000,0,14,0,0.9687504,0.0000000,0.0000000,0.0771703,0.0419656
C,41.43,20140816,52.4250,53.5750,51.8750,52.5000,0,,0.7071684,0.9425441,0.0003649,0.0038285,0.0729844,0.0730913
C,41.43,20141018,52.5750,53.4500,52.0750,52.5000,0,,1.6138749,0.7965565,0.0021094,0.0942357,0.0042314,0.0876329
C,41.43,20150117,52.6500,53.9000,51.5750,52.5000,0,56,2.1848939,0.7366721,0.0011917,0.1140510,0.0021673,0.0788642
C,41.43,20160115,52.5500,54.1000,51.4000,52.4000,0,14,0,0.6068993,0.0000000,0.0000000,0.0480371,0.6527567
C,42.14,20140621,51.8250,52.7250,51.2750,51.6250,0,,1.7567491,0.9910262,0.0001643,0.0006222,0.0728791,0.0103566
C,42.14,20140719,51.8750,52.6750,51.3750,51.8750,0,,2.2473002,0.8952852,0.0021257,0.0413274,-0.0540634,0.0325970
C,42.14,20140816,51.7250,52.9500,51.3250,51.8000,0,,0.6924563,0.9424767,0.0003797,0.0039007,0.0729694,0.0743427
C,42.14,20141018,51.8500,52.7500,51.3500,51.8000,0,,1.8640944,0.7894110,0.0019187,0.0990043,-0.0089719,0.0781821
C,42.14,20150117,51.6000,52.9500,51.0000,51.8000,0,91,0,0.8286846,0.0000000,0.0000000,0.0658784,0.2517048
C,42.86,20140621,51.1000,52.1500,50.2750,50.8250,0,56,0,0.9923072,0.0000000,0.0000000,0.0790377,0.0105663
C,42.86,20140719,51.1750,51.9250,50.6000,51.1500,0,28,0,0.9687504,0.0000000,0.0000000,0.0771410,0.0434141
