#symbol_id,symbol_value,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
AAPL R735QTJ8XC9X,AAPL,93.8900,93.8900,93.8600,93.7700,1201,,,,,,,
AAPL VXBK532KDV3A|AAPL R735QTJ8XC9X,AAPL  150117C00027860,65.8500,66.6000,63.8500,64.3500,0,2884,0,0.8293959,0.0000000,0.0000000,0.0650891,0.1656530
AAPL VXBK53EB3MLI|AAPL R735QTJ8XC9X,AAPL  150117C00028570,65.1500,65.9000,62.9500,63.6250,0,406,0,0.8293959,0.0000000,0.0000000,0.0650746,0.1698746
AAPL VXBK53Q7RQ5I|AAPL R735QTJ8XC9X,AAPL  150117C00029290,64.2250,65.2250,62.1750,63.0250,0,168,0,0.8293959,0.0000000,0.0000000,0.0650598,0.1741557
AAPL VXBK4QABAT52|AAPL R735QTJ8XC9X,AAPL  150117C00030000,63.9250,64.5000,61.4000,61.8000,0,28,0,0.8293959,0.0000000,0.0000000,0.0650453,0.1783773
AAPL VXBK54DP795Y|AAPL R735QTJ8XC9X,AAPL  150117C00030710,63.2250,63.8000,60.6750,61.5000,0,189,0,0.8293959,0.0000000,0.0000000,0.0650308,0.1825989
AAPL VXBK54PLVCPY|AAPL R735QTJ8XC9X,AAPL  150117C00031430,62.0750,63.0500,60.1000,60.7750,0,21,0,0.8293959,0.0000000,0.0000000,0.0650161,0.1868799
AAPL VXBK551CL486|AAPL R735QTJ8XC9X,AAPL  150117C00032140,61.9900,62.2000,61.9900,62.2000,0,248,0,0.8293959,0.0000000,0.0000000,0.0650015,0.1911015
AAPL VXBK55D997S6|AAPL R735QTJ8XC9X,AAPL  150117C00032860,60.9000,61.1000,60.9000,61.1000,0,161,0,0.8293959,0.0000000,0.0000000,0.0649868,0.1953826
AAPL VSCCS54A1O2U|AAPL R735QTJ8XC9X,AAPL  140719C00033570,60.7000,60.7000,60.7000,60.7000,0,141,0,0.9695820,0.0000000,0.0000000,0.0760675,0.0330857
AAPL VXBK55OZYZAE|AAPL R735QTJ8XC9X,AAPL  150117C00033570,60.3000,60.3000,60.2000,60.2000,0,112,0,0.8293959,0.0000000,0.0000000,0.0649723,0.1996042
AAPL VSCCS5G6PRMU|AAPL R735QTJ8XC9X,AAPL  140719C00034290,59.7250,60.4000,57.8000,57.8500,0,,2.6425502,0.9132844,0.0015163,0.0326154,-0.0479479,0.0260478
