#expiry,strike,right,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,32.3700,32.3700,32.3700,32.3700,17569494,,,,,,,
20130720,13,C,18.5000,20.0000,17.4500,18.9000,0,,1.6729204,0.9787627,0.0019155,0.0020628,0.0083246,0.0079630
20130720,14,C,17.5000,19.0000,16.4500,17.9000,0,,1.5448683,0.9779499,0.0022276,0.0022152,0.0083535,0.0085763
20130720,15,C,16.5000,17.9500,15.4500,16.9000,0,,1.4253543,0.9770822,0.0025894,0.0023758,0.0083973,0.0091886
20130720,16,C,15.5000,17.0000,14.4500,15.9000,0,,1.3136572,0.9761290,0.0030154,0.0025498,0.0084416,0.0097991
20130720,17,C,14.5000,16.0000,13.4500,14.9000,0,,1.2082680,0.9750974,0.0035172,0.0027356,0.0085011,0.0104081
20130720,18,C,13.5000,14.9500,12.4500,13.9000,0,,1.1092147,0.9739215,0.0041234,0.0029442,0.0085481,0.0110141
20130720,19,C,12.5000,14.0000,11.4500,12.9000,0,17,1.0150100,0.9726168,0.0048550,0.0031721,0.0086070,0.0116175
20130720,20,C,11.5000,12.9500,10.4500,11.9000,0,10,0,0.9883111,0.0000000,0.0000000,0.0158324,0.0125968
20130720,21,C,10.5000,12.0500,9.4500,10.9500,0,99,0.8390158,0.9694875,0.0068599,0.0037049,0.0087584,0.0128138
20130720,22,C,9.5000,10.9500,8.4500,9.9000,0,10,1.0074001,0.9321501,0.0140395,0.0091043,-0.0050286,0.0125830
20130720,23,C,8.5000,9.9500,7.4500,8.9000,0,,0.7898223,0.9471131,0.0139794,0.0071074,0.0029199,0.0135793
20130720,24,C,7.4000,7.4000,7.4000,7.4000,0,67,0,0.9883111,0.0000000,0.0000000,0.0157502,0.0151161
20130720,25,C,6.4700,6.4700,6.4700,6.4700,0,170,0,0.9883111,0.0000000,0.0000000,0.0157297,0.0157460
20130720,26,C,5.9000,5.9000,5.9000,5.9000,3,116,0,0.9883111,0.0000000,0.0000000,0.0157092,0.0163758
20130720,27,C,6.4000,6.4000,6.4000,6.4000,0,154,0,0.9883111,0.0000000,0.0000000,0.0156886,0.0170057
20130720,28,C,4.2600,4.2600,4.2500,4.2600,0,7147,0,0.9883111,0.0000000,0.0000000,0.0156681,0.0176355
20130720,29,C,2.9000,2.9000,2.9000,2.9000,3,1973,0,0.9883111,0.0000000,0.0000000,0.0156475,0.0182653
20130720,30,C,1.7500,1.7500,1.6500,1.6500,0,28305,0,0.9883111,0.0000000,0.0000000,0.0156270,0.0188952
20130720,31,C,1.4500,1.4500,1.4500,1.4500,5,2339,0,0.9883111,0.0000000,0.0000000,0.0156065,0.0195250
20130720,32,C,0.6000,0.6000,0.6000,0.6000,0,9328,0,0.9883111,0.0000000,0.0000000,0.0155859,0.0201549
20130720,33,C,0.3800,0.4500,0.3000,0.4100,451,16552,0,0.9883111,0.0000000,0.0000000,0.0155654,0.0207847
20130720,34,C,0.1500,0.2000,0.1500,0.2000,177,27014,0,0.9883111,0.0000000,0.0000000,0.0155448,0.0214145
