#symbol_id,symbol_value,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
NWSA T3MO1488O0H1,NWSA,32.6900,32.6900,32.6900,32.6900,25316436,,,,,,,
NWSA VND5EP4VE1K6|NWSA T3MO1488O0H1,NWSA  140118C00003000,28.9000,30.7000,28.0500,29.8500,0,,1.3906930,0.8352073,0.0003488,0.0024295,0.0226779,0.0158043
NWSA VND5EP57APNQ|NWSA T3MO1488O0H1,NWSA  140118C00005000,26.9000,28.7000,26.0500,27.8500,0,,0,0.8385640,0.0000000,0.0000000,0.0235565,0.0278283
NWSA VND5EP5P5PT2|NWSA T3MO1488O0H1,NWSA  140118C00008000,23.9000,25.7000,23.0500,24.9000,0,,0.8270841,0.8297527,0.0013767,0.0057031,0.0220978,0.0424961
NWSA VND5EP4JJIME|NWSA T3MO1488O0H1,NWSA  140118C00010000,21.9000,23.7000,21.0500,22.9500,0,,2.8472084,0.7867583,0.0017515,0.0249768,0.0047103,0.0154769
NWSA VIDY1OLT02UE|NWSA T3MO1488O0H1,NWSA  130720C00013000,18.9000,20.7500,18.0500,19.8500,0,,1.7247386,0.9718735,0.0018405,0.0020062,0.0192960,0.0076183
NWSA VND5EP6IXE1Y|NWSA T3MO1488O0H1,NWSA  140118C00013000,18.9000,20.7000,18.0500,19.9500,0,,2.1768518,0.7536967,0.0033278,0.0362818,0.0018102,0.0262034
NWSA VXBK4QBYS0H2|NWSA T3MO1488O0H1,NWSA  150117C00013000,18.1000,18.1000,18.1000,18.1000,0,24,0,0.6124926,0.0000000,0.0000000,0.0170165,0.1999540
NWSA VIDY1OLYYEW6|NWSA T3MO1488O0H1,NWSA  130720C00014000,17.9000,19.7500,17.0500,18.8500,0,,1.5939235,0.9710885,0.0021373,0.0021530,0.0193185,0.0082053
NWSA VIDY1OM4WQXY|NWSA T3MO1488O0H1,NWSA  130720C00015000,16.9000,18.7500,16.0500,17.8500,0,,1.4719936,0.9702466,0.0024814,0.0023085,0.0193515,0.0087912
NWSA VND5EP6UU25I|NWSA T3MO1488O0H1,NWSA  140118C00015000,16.9500,18.7500,16.1000,17.9500,0,3,0,0.8385640,0.0000000,0.0000000,0.0233519,0.0834849
NWSA VXBK4QCAOOKM|NWSA T3MO1488O0H1,NWSA  150117C00015000,18.4000,18.4000,18.4000,18.4000,0,17,2.1689940,0.5686333,0.0015447,0.0341267,0.0094946,0.0247216
NWSA VIDY1OMAV2ZQ|NWSA T3MO1488O0H1,NWSA  130720C00016000,15.9000,17.7500,15.0500,16.8500,0,,1.3579217,0.9693284,0.0028847,0.0024757,0.0193880,0.0093756
NWSA VKVJQ6WNTQLI|NWSA T3MO1488O0H1,NWSA  131019C00016000,15.9500,17.7500,15.1000,16.9000,0,,0.5457724,0.8941792,0.0036438,0.0059680,0.0234684,0.0479591
