#expiry,strike,right,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,70.5300,70.5600,70.5000,70.5600,0,,,,,,,
20140621,42.5,C,27.7750,28.6000,27.3750,27.3750,0,,0.9855146,0.9834424,0.0011840,0.0025162,0.0372783,0.0184246
20140621,45,C,25.4250,26.1250,24.8250,24.8750,0,,0.8397013,0.9846353,0.0011422,0.0020681,0.0396028,0.0195615
20140621,47.5,C,22.9250,23.6250,22.3500,22.9500,0,,0.7454790,0.9840329,0.0014283,0.0022961,0.0396021,0.0206383
20140621,50,C,15.0900,15.0900,15.0900,15.0900,0,5,2.2871503,0.8166231,0.0076258,0.0376104,-0.2314026,0.0148148
20140621,55,C,15.4750,15.5250,15.4250,15.4250,0,,0.5109712,0.9782727,0.0039342,0.0043349,0.0376150,0.0237425
20140621,57.5,C,12.9750,13.0250,12.8250,12.8750,0,,1.4435613,0.7775532,0.0136801,0.0425848,-0.1566344,0.0173322
20140621,60,C,7.8500,7.8500,7.8500,7.8500,0,2,0,0.9894670,0.0000000,0.0000000,0.0449397,0.0262927
20140621,62.5,C,6.4000,7.6200,6.4000,7.6200,0,1139,0,0.9894670,0.0000000,0.0000000,0.0448883,0.0273883
20140621,65,C,5.5500,5.5500,5.4500,5.5000,457,1324,0,0.9894670,0.0000000,0.0000000,0.0448370,0.0284838
20140621,67.5,C,3.2000,3.2000,3.2000,3.2000,41,3011,0,0.9894670,0.0000000,0.0000000,0.0447856,0.0295793
20140621,70,C,1.3600,1.3600,1.2000,1.2900,599,4871,0,0.9894670,0.0000000,0.0000000,0.0447343,0.0306748
20140621,72.5,C,0.3300,0.3300,0.3300,0.3300,10,1692,0,0.9894670,0.0000000,0.0000000,0.0446829,0.0317704
20140621,75,C,0.1200,0.1200,0.0700,0.0700,0,322,0,0.9894670,0.0000000,0.0000000,0.0446316,0.0328659
20140621,77.5,C,0.0200,0.0200,0.0200,0.0200,0,61,2.6119268,0.5269948,0.0103117,0.0580794,-0.4499791,0.0109000
20140621,80,C,0.0300,0.0800,0.0250,0.0250,0,,0.3004600,0.0160502,0.0091309,0.0059160,-0.0048286,0.0004851
20140719,47.5,C,23.0500,23.1750,22.8750,22.8750,0,,1.0820619,0.8526360,0.0076474,0.0481703,-0.0202092,0.0448973
20140719,50,C,20.4750,20.5750,20.4000,20.4000,0,,0.9770354,0.8394683,0.0091108,0.0518180,-0.0191563,0.0467616
20140719,55,C,14.8300,14.8300,14.8300,14.8300,0,6,0,0.9713006,0.0000000,0.0000000,0.0441953,0.0662415
20140719,57.5,C,8.8200,8.8200,8.8200,8.8200,0,1,0,0.9713006,0.0000000,0.0000000,0.0441440,0.0692524
20140719,60,C,10.4000,10.4000,10.4000,10.4000,0,38,0,0.9713006,0.0000000,0.0000000,0.0440927,0.0722634
20140719,62.5,C,5.7000,5.7000,5.7000,5.7000,0,137,0,0.9713006,0.0000000,0.0000000,0.0440414,0.0752744
20140719,65,C,6.4500,6.4500,6.4500,6.4500,0,835,0,0.9713006,0.0000000,0.0000000,0.0439900,0.0782854
20140719,67.5,C,3.6900,3.7000,3.6500,3.6500,0,1026,0,0.9713006,0.0000000,0.0000000,0.0439387,0.0812963
20140719,70,C,1.9900,2.0200,1.9600,2.0200,11,4318,0,0.9713006,0.0000000,0.0000000,0.0438874,0.0843073
20140719,72.5,C,0.9300,0.9600,0.9000,0.9600,201,5625,0,0.9713006,0.0000000,0.0000000,0.0438361,0.0873183
20140719,75,C,0.3900,0.3900,0.3800,0.3900,102,3485,0.2619936,0.1677920,0.0398608,0.0607927,-0.0105011,0.0135940
