security_type,symbol,description,quote_currency,contract_multiplier,pip_size

#
# Use # signs for comments
#

cfd,USB10YUSD,US 10-Year Treasury Notes,USD,100,0.01
cfd,USB05YUSD,US 5-Year Treasury Notes,USD,1,0.01
cfd,AU200AUD,S&P/ASX index of Australian listed shares,AUD,0.1,1
cfd,DE10YBEUR,Euro-Bund,EUR,10,0.01
cfd,XCUUSD,Copper,USD,100,0.001
cfd,ES35EUR,IBEX 35 index of Spanish listed shares,EUR,0.1,1
cfd,EU50EUR,Euro Stoxx 50 index of European listed shares,EUR,0.1,1
cfd,FR40EUR,CAC 40 index of French listed shares,EUR,0.1,1
cfd,DE30EUR,DAX index of German listed shares,EUR,0.1,1
cfd,HK33HKD,Hang Seng index of Hong Kong listed shares,HKD,1,1
cfd,IT40EUR,FTSE MIB index of Italian listed shares,EUR,0.1,1
cfd,JP225JPY,Nikkei 225 index of Japanese listed shares,JPY,1,1
cfd,JP10YBJPY,Japanese Bonds,JPY,1,0.01
cfd,NAS100USD,TECH 100 index of US listed shares,USD,0.1,1
cfd,NL25EUR,AEX 25 index of Dutch listed shares,EUR,1,0.1
cfd,NATGASUSD,Natural Gas (Henry Hub),USD,100,0.001
cfd,SPX500USD,S&P 500 index of US listed shares,USD,1,0.1
cfd,CH20CHF,Swiss Market Index of Swiss listed shares,CHF,0.1,1
cfd,USB30YUSD,US Treasury Bond,USD,1,0.01
cfd,UK100GBP,FTSE 100 index of UK listed shares,GBP,0.1,1
cfd,UK10YBGBP,UK Treasury Bills,GBP,1,0.01
cfd,BCOUSD,Crude Oil (Brent),USD,10,0.01
cfd,US30USD,Index of top 30 shares on Wall Street,USD,0.1,1
cfd,DXYUSD,Dow Jones FXCM Dollar Index Basket,USD,1,1
cfd,WTICOUSD,Crude Oil (WTI),USD,10,0.01
cfd,XAGUSD,Silver,USD,1,0.01
cfd,XAUUSD,Gold,USD,1,0.01
cfd,XPDUSD,Palladium,USD,1,0.1
cfd,XPTUSD,Platinum,USD,1,0.1
