security_type,symbol,description,quote_currency,contract_multiplier,pip_size

#
# Use # signs for comments
#

cfd,AU200AUD,Australia 200,AUD,1,1
cfd,BCOUSD,Brent Crude Oil,USD,1,0.01
cfd,CH20CHF,Swiss 20,CHF,1,1
cfd,CORNUSD,Corn,USD,1,0.01
cfd,DE10YBEUR,Bund,EUR,1,0.01
cfd,DE30EUR,Germany 30,EUR,1,1
cfd,EU50EUR,Europe 50,EUR,1,1
cfd,FR40EUR,France 40,EUR,1,1
cfd,HK33HKD,Hong Kong 33,HKD,1,1
cfd,JP225USD,Japan 225,USD,1,1
cfd,NAS100USD,US Nas 100,USD,1,1
cfd,NATGASUSD,Natural Gas,USD,1,0.01
cfd,NL25EUR,Netherlands 25,EUR,1,0.01
cfd,SG30SGD,Singapore 30,SGD,1,0.1
cfd,SOYBNUSD,Soybeans,USD,1,0.01
cfd,SPX500USD,US SPX 500,USD,1,1
cfd,SUGARUSD,Sugar,USD,1,0.0001
cfd,UK100GBP,UK 100,GBP,1,1
cfd,UK10YBGBP,UK 10Y Gilt,GBP,1,0.01
cfd,US2000USD,US Russ 2000,USD,1,0.01
cfd,US30USD,US Wall St 30,USD,1,1
cfd,USB02YUSD,US 2Y T-Note,USD,1,0.01
cfd,USB05YUSD,US 5Y T-Note,USD,1,0.01
cfd,USB10YUSD,US 10Y T-Note,USD,1,0.01
cfd,USB30YUSD,US T-Bond,USD,1,0.01
cfd,WHEATUSD,Wheat,USD,1,0.01
cfd,WTICOUSD,West Texas Oil,USD,1,0.01
cfd,XAGAUD,Silver/AUD,AUD,1,0.0001
cfd,XAGCAD,Silver/CAD,CAD,1,0.0001
cfd,XAGCHF,Silver/CHF,CHF,1,0.0001
cfd,XAGEUR,Silver/EUR,EUR,1,0.0001
cfd,XAGGBP,Silver/GBP,GBP,1,0.0001
cfd,XAGHKD,Silver/HKD,HKD,1,0.0001
cfd,XAGJPY,Silver/JPY,JPY,1,1
cfd,XAGNZD,Silver/NZD,NZD,1,0.0001
cfd,XAGSGD,Silver/SGD,SGD,1,0.0001
cfd,XAGUSD,Silver,USD,1,0.0001
cfd,XAUAUD,Gold/AUD,AUD,1,0.01
cfd,XAUCAD,Gold/CAD,CAD,1,0.01
cfd,XAUCHF,Gold/CHF,CHF,1,0.01
cfd,XAUEUR,Gold/EUR,EUR,1,0.01
cfd,XAUGBP,Gold/GBP,GBP,1,0.01
cfd,XAUHKD,Gold/HKD,HKD,1,0.01
cfd,XAUJPY,Gold/JPY,JPY,1,10
cfd,XAUNZD,Gold/NZD,NZD,1,0.01
cfd,XAUSGD,Gold/SGD,SGD,1,0.01
cfd,XAUUSD,Gold,USD,1,0.01
cfd,XAUXAG,Gold/Silver,XAG,1,0.01
cfd,XCUUSD,Copper,USD,1,0.0001
cfd,XPDUSD,Palladium,USD,1,0.01
cfd,XPTUSD,Platinum,USD,1,0.01
