market,symbol,type,description,quote_currency,contract_multiplier,pip_size

#
# Use # signs for comments
#

fxcm,AU200AUD,cfd,S&P/ASX index of Australian listed shares,AUD,0.1,1
fxcm,DE10YBEUR,cfd,Euro-Bund,EUR,10,0.01
fxcm,XCUUSD,cfd,Copper,USD,100,0.001
fxcm,ES35EUR,cfd,IBEX 35 index of Spanish listed shares,EUR,0.1,1
fxcm,EU50EUR,cfd,Euro Stoxx 50 index of European listed shares,EUR,0.1,1
fxcm,FR40EUR,cfd,CAC 40 index of French listed shares,EUR,0.1,1
fxcm,DE30EUR,cfd,DAX index of German listed shares,EUR,0.1,1
fxcm,HK33HKD,cfd,Hang Seng index of Hong Kong listed shares,HKD,1,1
fxcm,IT40EUR,cfd,FTSE MIB index of Italian listed shares,EUR,0.1,1
fxcm,JP225JPY,cfd,Nikkei 225 index of Japanese listed shares,JPY,1,1
fxcm,NAS100USD,cfd,TECH 100 index of US listed shares,USD,0.1,1
fxcm,NATGASUSD,cfd,Natural Gas (Henry Hub),USD,100,0.001
fxcm,SPX500USD,cfd,S&P 500 index of US listed shares,USD,1,0.1
fxcm,CH20CHF,cfd,Swiss Market Index of Swiss listed shares,CHF,0.1,1
fxcm,UK100GBP,cfd,FTSE 100 index of UK listed shares,GBP,0.1,1
fxcm,BCOUSD,cfd,Crude Oil (Brent),USD,10,0.01
fxcm,US30USD,cfd,Index of top 30 shares on Wall Street,USD,0.1,1
fxcm,DXYUSD,cfd,Dow Jones FXCM Dollar Index Basket,USD,1,1
fxcm,WTICOUSD,cfd,Crude Oil (WTI),USD,10,0.01
fxcm,XAGUSD,cfd,Silver,USD,1,0.01
fxcm,XAUUSD,cfd,Gold,USD,1,0.01
fxcm,XPDUSD,cfd,Palladium,USD,1,0.1
fxcm,XPTUSD,cfd,Platinum,USD,1,0.1

oanda,AU200AUD,cfd,Australia 200,AUD,1,1
oanda,BCOUSD,cfd,Brent Crude Oil,USD,1,0.01
oanda,CH20CHF,cfd,Swiss 20,CHF,1,1
oanda,CORNUSD,cfd,Corn,USD,1,0.01
oanda,DE10YBEUR,cfd,Bund,EUR,1,0.01
oanda,DE30EUR,cfd,Germany 30,EUR,1,1
oanda,EU50EUR,cfd,Europe 50,EUR,1,1
oanda,FR40EUR,cfd,France 40,EUR,1,1
oanda,HK33HKD,cfd,Hong Kong 33,HKD,1,1
oanda,JP225USD,cfd,Japan 225,USD,1,1
oanda,NAS100USD,cfd,US Nas 100,USD,1,1
oanda,NATGASUSD,cfd,Natural Gas,USD,1,0.01
oanda,NL25EUR,cfd,Netherlands 25,EUR,1,0.01
oanda,SG30SGD,cfd,Singapore 30,SGD,1,0.1
oanda,SOYBNUSD,cfd,Soybeans,USD,1,0.01
oanda,SPX500USD,cfd,US SPX 500,USD,1,1
oanda,SUGARUSD,cfd,Sugar,USD,1,0.0001
oanda,UK100GBP,cfd,UK 100,GBP,1,1
oanda,UK10YBGBP,cfd,UK 10Y Gilt,GBP,1,0.01
oanda,US2000USD,cfd,US Russ 2000,USD,1,0.01
oanda,US30USD,cfd,US Wall St 30,USD,1,1
oanda,USB02YUSD,cfd,US 2Y T-Note,USD,1,0.01
oanda,USB05YUSD,cfd,US 5Y T-Note,USD,1,0.01
oanda,USB10YUSD,cfd,US 10Y T-Note,USD,1,0.01
oanda,USB30YUSD,cfd,US T-Bond,USD,1,0.01
oanda,WHEATUSD,cfd,Wheat,USD,1,0.01
oanda,WTICOUSD,cfd,West Texas Oil,USD,1,0.01
oanda,XAGAUD,cfd,Silver/AUD,AUD,1,0.0001
oanda,XAGCAD,cfd,Silver/CAD,CAD,1,0.0001
oanda,XAGCHF,cfd,Silver/CHF,CHF,1,0.0001
oanda,XAGEUR,cfd,Silver/EUR,EUR,1,0.0001
oanda,XAGGBP,cfd,Silver/GBP,GBP,1,0.0001
oanda,XAGHKD,cfd,Silver/HKD,HKD,1,0.0001
oanda,XAGJPY,cfd,Silver/JPY,JPY,1,1
oanda,XAGNZD,cfd,Silver/NZD,NZD,1,0.0001
oanda,XAGSGD,cfd,Silver/SGD,SGD,1,0.0001
oanda,XAGUSD,cfd,Silver,USD,1,0.0001
oanda,XAUAUD,cfd,Gold/AUD,AUD,1,0.01
oanda,XAUCAD,cfd,Gold/CAD,CAD,1,0.01
oanda,XAUCHF,cfd,Gold/CHF,CHF,1,0.01
oanda,XAUEUR,cfd,Gold/EUR,EUR,1,0.01
oanda,XAUGBP,cfd,Gold/GBP,GBP,1,0.01
oanda,XAUHKD,cfd,Gold/HKD,HKD,1,0.01
oanda,XAUJPY,cfd,Gold/JPY,JPY,1,10
oanda,XAUNZD,cfd,Gold/NZD,NZD,1,0.01
oanda,XAUSGD,cfd,Gold/SGD,SGD,1,0.01
oanda,XAUUSD,cfd,Gold,USD,1,0.01
oanda,XAUXAG,cfd,Gold/Silver,XAG,1,0.01
oanda,XCUUSD,cfd,Copper,USD,1,0.0001
oanda,XPDUSD,cfd,Palladium,USD,1,0.01
oanda,XPTUSD,cfd,Platinum,USD,1,0.01
