19980102 00:00,136300,162500,135000,162500,5679800
19980105 00:00,165000,165600,151900,160000,5565700
19980106 00:00,159400,200000,147500,190000,14483800
19980107 00:00,188100,190000,173100,174400,8887500
19980108 00:00,174400,186300,169400,180600,6096100
19980109 00:00,181300,193800,175000,181900,6770900
19980112 00:00,174400,186300,171300,183100,4367700
19980113 00:00,186300,196300,185000,195000,4523600
19980114 00:00,198800,199400,193100,196900,5036700
19980115 00:00,191900,197500,186300,191900,4667700
19980116 00:00,194400,194400,186900,187500,2128100
19980120 00:00,190600,193100,186300,190000,2071800
19980121 00:00,187500,190600,185600,188800,1578100
19980122 00:00,186900,197500,186300,192500,2873900
19980123 00:00,193800,196900,192500,195000,2007600
19980126 00:00,194400,195000,188100,193800,1200200
19980127 00:00,191900,196900,190000,191300,955100
19980128 00:00,191900,193800,186300,191300,1321200
19980129 00:00,189400,191300,185000,185000,1829000
19980130 00:00,183100,188800,182500,183100,1346900
19980202 00:00,185000,185000,173800,176300,4394600
19980203 00:00,176900,186300,176900,183100,3352800
19980204 00:00,180600,185000,180000,182500,1411200
19980205 00:00,182500,184400,180000,183800,2001300
19980206 00:00,183800,186900,182500,183800,1745600
19980209 00:00,183800,195000,183800,191900,4101000
19980210 00:00,191300,195600,190600,193800,3668800
19980211 00:00,195000,195000,188800,190000,1655600
19980212 00:00,191300,194400,190600,193100,1696400
19980213 00:00,191900,196900,190000,195600,1824900
19980217 00:00,195000,197500,195000,196300,1527700
19980218 00:00,195600,207500,195600,205600,4211000
19980219 00:00,208800,209400,200000,203800,2989700
19980220 00:00,205000,205600,198100,200000,2774900
19980223 00:00,201300,216300,200000,211900,3974800
19980224 00:00,213100,213800,207500,213100,3951200
19980225 00:00,213100,227500,209400,223800,5685600
19980226 00:00,223100,235600,218800,234400,5050100
19980227 00:00,233100,238800,225600,236300,4536300
19980302 00:00,235600,235600,222500,226900,3343000
19980303 00:00,218800,231900,216300,231900,2661600
19980304 00:00,228800,247500,228800,245000,6958300
19980305 00:00,232500,242500,231300,240600,5404500
19980306 00:00,238800,245000,233800,243800,5430100
19980309 00:00,237500,243100,226300,227500,4354200
19980310 00:00,230000,245000,229400,241300,5776800
19980311 00:00,251300,261900,245600,261300,9990000
19980312 00:00,261300,270000,255600,269400,6248500
19980313 00:00,272500,272500,262500,271300,4812200
19980316 00:00,271300,272500,261900,265600,3495100
19980317 00:00,265000,266900,258800,263800,3602200
19980318 00:00,260000,268800,260000,268800,2305000
19980319 00:00,268800,269400,265600,267500,1383100
19980320 00:00,266900,268800,260000,263100,1751200
19980323 00:00,259400,262500,246300,260600,3233000
19980324 00:00,263800,280000,262500,279400,5445600
19980325 00:00,276300,277500,263800,271900,3231500
19980326 00:00,267500,270000,264400,266300,1675300
19980327 00:00,266300,273100,263800,270000,2196100
19980330 00:00,267500,275000,267500,275000,2116400
19980331 00:00,274400,278100,272500,275000,2310400
19980401 00:00,274400,275000,270600,275000,1572200
19980402 00:00,273100,274400,269400,272500,1631600
19980403 00:00,271300,272500,268100,270000,1721400
19980406 00:00,270000,270000,261900,262500,2848000
19980407 00:00,258100,260000,248800,255000,2487700
19980408 00:00,252500,253800,246900,250000,1970000
19980409 00:00,250600,258800,250000,255600,1426000
19980413 00:00,256300,266900,250000,264400,2448600
19980414 00:00,263800,272500,263800,268900,2883900
19980415 00:00,271900,275000,266300,274400,4901400
19980416 00:00,292500,296300,281900,286900,15001100
19980417 00:00,285600,285600,276900,278800,5193900
19980420 00:00,276300,294400,275600,289400,4429300
19980421 00:00,290600,291300,285000,289400,2942900
19980422 00:00,287500,290000,275000,275000,2350500
19980423 00:00,274400,290000,271900,276900,3954800
19980424 00:00,277500,282500,275000,279400,1752700
19980427 00:00,267500,277500,267500,276900,3517100
19980428 00:00,278800,280000,262500,270000,2069800
19980429 00:00,269400,274400,267500,270000,1564500
19980430 00:00,273800,276300,270600,273100,1478300
19980501 00:00,275000,282500,268800,280000,1571700
19980504 00:00,288800,294400,288800,290600,4755700
19980505 00:00,292500,298800,291300,296900,3613500
19980506 00:00,298800,304400,292500,303100,7700400
19980507 00:00,305600,306300,298800,301900,4610800
19980508 00:00,300600,305000,299400,304400,2248600
19980511 00:00,308800,316300,307500,309400,5842000
19980512 00:00,305600,307500,299400,301300,2228000
19980513 00:00,300600,308100,296300,304100,2659400
19980514 00:00,303800,304400,297500,300600,1372100
19980515 00:00,300600,303800,292500,295000,2256000
19980518 00:00,293800,295600,283800,285600,2011500
19980519 00:00,289400,294400,288100,293800,1895200
19980520 00:00,296300,298800,287500,296300,1650800
19980521 00:00,295600,296900,286300,288800,1109100
19980522 00:00,287500,287500,273100,278800,2330400
19980526 00:00,280600,282500,266300,267500,2636800
19980527 00:00,256900,268100,256300,266900,3075400
19980528 00:00,267500,278800,267500,273100,2557500
19980529 00:00,275000,275600,264400,265600,1768400
19980601 00:00,265000,276300,256300,263800,2525000
19980602 00:00,264400,273100,260000,267500,1531000
19980603 00:00,271300,271900,261900,263100,1258600
19980604 00:00,266300,268800,258100,268100,1279200
19980605 00:00,268800,272500,263800,268800,1052100
19980608 00:00,270000,276900,268100,272500,1076200
19980609 00:00,273800,285000,273800,281900,2340900
19980610 00:00,280000,290000,276300,281300,1910000
19980611 00:00,281900,286300,278100,278100,1563500
19980612 00:00,276300,282500,273800,281300,1753700
