symbol,entry_date,exit_date,days_held,entry_cost,exit_value,pnl_usd,pnl_pct,exit_type,winner,month
AMD,2024-01-12,2024-01-22,10,8400.0,11360.0,2960.0,35.2,MOMENTUM,Y,2024-01
AMAT,2024-01-12,2024-01-23,11,9810.0,13368.0,3558.0,36.3,MOMENTUM,Y,2024-01
AVGO,2024-01-17,2024-01-23,6,11150.0,15970.0,4820.0,43.2,MOMENTUM,Y,2024-01
NVDA,2024-01-12,2024-01-26,14,7315.0,9210.0,1895.0,25.9,MOMENTUM,Y,2024-01
QCOM,2024-01-12,2024-01-26,14,9590.0,11466.0,1876.0,19.6,MOMENTUM,Y,2024-01
AMZN,2024-01-05,2024-01-30,25,9660.0,11910.0,2250.0,23.3,MOMENTUM,Y,2024-01
SMCI,2024-01-12,2024-02-02,21,7840.0,23230.0,15390.0,196.3,MOMENTUM,Y,2024-01
TSLA,2024-01-22,2024-02-06,15,9195.0,10611.0,1416.0,15.4,MOMENTUM,Y,2024-01
NVDA,2024-01-29,2024-02-06,8,7525.0,10270.0,2745.0,36.5,MOMENTUM,Y,2024-01
AAPL,2024-01-10,2024-02-09,30,9275.0,6545.0,-2730.0,-29.4,TIME_STOP,N,2024-01
PLTR,2024-01-12,2024-02-09,28,9860.0,21431.0,11571.0,117.4,MOMENTUM,Y,2024-01
NOW,2024-01-12,2024-02-12,31,7600.0,7100.0,-500.0,-6.6,TIME_STOP,N,2024-01
AMAT,2024-01-24,2024-02-13,20,8675.0,9450.0,775.0,8.9,MOMENTUM,Y,2024-01
LULU,2024-01-17,2024-02-16,30,7300.0,6430.0,-870.0,-11.9,TIME_STOP,N,2024-01
ADBE,2024-01-17,2024-02-16,30,5840.0,6305.0,465.0,8.0,TIME_STOP,Y,2024-01
MU,2024-01-17,2024-02-16,30,9350.0,7414.0,-1936.0,-20.7,TIME_STOP,N,2024-01
COIN,2024-01-19,2024-02-20,32,9225.0,14670.0,5445.0,59.0,TIME_STOP,Y,2024-01
MSFT,2024-01-22,2024-02-21,30,8670.0,5115.0,-3555.0,-41.0,TIME_STOP,N,2024-01
