Globex,Product Name,MultipleFactor,Info
1S,Propane Non-LDH Mont Belvieu (OPIS) BALMO Futures,1,
22,Argus Propane Far East Index BALMO Futures,1,
6A,Australian Dollar Futures,0.01,
6B,British Pound Futures,0.01,
6C,Canadian Dollar Futures,0.01,
6E,Euro FX Futures,0.01,
6J,Japanese Yen Futures,0.0001,
6L,Brazilian Real Futures,0.01,
6M,Mexican Peso Futures,0.0001,
6N,New Zealand Dollar Futures,0.01,
6R,Russian Ruble Futures,0.0001,
6S,Swiss Franc Futures,0.01,
6Z,South African Rand Futures,0.0001,
A0D,Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,0.1,
A0F,Mini Singapore Fuel Oil 180 cst (Platts) Futures,0.1,
A1L,Gulf Coast ULSD (Platts) Up-Down BALMO Futures,1,
A1M,Gulf Coast Jet (Platts) Up-Down BALMO Futures,1,
A1R,Propane Non-LDH Mont Belvieu (OPIS) Futures,0.001,
A32,European Propane CIF ARA (Argus) BALMO Futures,1,
A3G,Premium Unleaded Gasoline 10 ppm FOB MED (Platts) Futures,0.1,
A7E,Argus Propane Far East Index Futures,0.1,
A7I,Gasoline Euro-bob Oxy NWE Barges (Argus) Crack Spread BALMO Futures,1,
A7Q,Mont Belvieu Natural Gasoline (OPIS) Futures,0.001,
A8J,Mont Belvieu Normal Butane (OPIS) BALMO Futures,1,
A8K,Conway Propane (OPIS) Futures,0.001,
A8O,Mont Belvieu LDH Propane (OPIS) BALMO Futures,1,
A91,Argus Propane Far East Index vs. European Propane CIF ARA (Argus) Futures,0.1,
A9N,Argus Propane (Saudi Aramco) Futures,0.1,
AA6,Group Three ULSD (Platts) vs. NY Harbor ULSD Futures,0.01,
AA8,Group Three Sub-octane Gasoline (Platts) vs. RBOB Futures,0.01,
ABS,Singapore Fuel Oil 180 cst (Platts) BALMO Futures,1,
ABT,Singapore Fuel Oil 380 cst (Platts) BALMO Futures,1,
AC0,Mont Belvieu Ethane (OPIS) Futures,0.001,
ACD,Australian Dollar/Canadian Dollar Futures,0.01,
AD0,Mont Belvieu Normal Butane (OPIS) Futures,0.001,
ADB,Brent Crude Oil vs. Dubai Crude Oil (Platts) Futures,0.1,
AE5,Argus LLS vs. WTI (Argus) Trade Month Futures,1,
AGA,Singapore Gasoil (Platts) vs. Low Sulphur Gasoil Futures,0.1,
AJL,Los Angeles CARBOB Gasoline (OPIS) vs. RBOB Gasoline Futures,1,
AJS,Los Angeles Jet (OPIS) vs. NY Harbor ULSD Futures,0.01,
AJY,Australian Dollar/Japanese Yen Futures,1,
AKL,Los Angeles CARB Diesel (OPIS) vs. NY Harbor ULSD Futures,0.01,
AKZ,European Naphtha (Platts) BALMO Futures,1,
ANE,Australian Dollar/New Zealand Dollar Futures,0.01,
APS,European Propane CIF ARA (Argus) Futures,1,
AR0,Mont Belvieu Natural Gasoline (OPIS) BALMO Futures,1,
